Customer_ID,Report_Date,State,City,Network_Type,Network_Availability_Pct,Download_Speed_Mbps,Call_Drop_Rate_Pct,Latency_ms,Network_Downtime_Min,Complaint_Flag,Customer_Satisfaction
AIR100031,2025-10-15,Rajasthan,Rajasthan City 3,5G,98.78,67.89,0.23,18.9,95,0,4.19
AIR100032,2025-11-15,Maharashtra,Maharashtra City 1,4G,98.94,47.26,1.35,58,5,0,3.16
AIR100033,2025-12-15,Kerala,Kerala City 2,5G,98.84,150.84,0.58,16.1,51,0,4.19
AIR100034,2025-02-15,Maharashtra,Maharashtra City 1,4G,98.96,55.12,1.13,15.5,104,1,3.46
AIR100035,2025-03-15,Telangana,Telangana City 3,5G,100,151.23,0.69,36,64,0,4.05
AIR100036,2025-04-15,Kerala,Kerala City 1,4G,98.74,50.91,1.31,43.4,115,0,3.7
AIR100037,2025-05-15,Rajasthan,Rajasthan City 2,4G,98.2,62.46,1.63,35.7,85,1,3.14
AIR100038,2025-06-15,Telangana,Telangana City 2,4G,98.1,43.23,1.47,45.6,36,0,2.87
AIR100039,2025-07-15,Karnataka,Karnataka City 1,4G,97.82,46.76,1.29,39.9,64,0,3.84
AIR100040,2025-08-15,Delhi,Delhi City 3,4G,98.47,44.21,2.22,28.9,46,0,3
AIR100041,2025-09-15,Rajasthan,Rajasthan City 2,4G,96.64,40.85,0.6,42,121,1,3.43
AIR100042,2025-10-15,Karnataka,Karnataka City 2,4G,98.47,29.05,0.48,34.3,100,0,4.08
AIR100043,2025-11-15,Uttar Pradesh,Uttar Pradesh City 1,5G,99.18,130.53,0.57,12,73,0,3.35
AIR100044,2025-12-15,Rajasthan,Rajasthan City 2,4G,99.05,53.42,1.61,48.3,50,1,3.11
AIR100045,2025-02-15,Uttar Pradesh,Uttar Pradesh City 2,4G,98.31,52.73,1.9,38.7,54,0,3.42
AIR100046,2025-03-15,Kerala,Kerala City 3,4G,99.3,44.15,0.99,33.8,58,0,3.74
AIR100047,2025-04-15,Karnataka,Karnataka City 3,5G,99.18,91.53,0.84,19.1,58,0,3.14
AIR100048,2025-05-15,Delhi,Delhi City 3,4G,97.79,23.61,1.51,51.3,80,0,3.3
AIR100049,2025-06-15,Telangana,Telangana City 1,4G,99.48,58.23,0.79,34,55,1,3.8
AIR100050,2025-07-15,West Bengal,West Bengal City 2,4G,97.74,20.82,1.29,42,79,0,3.44
AIR100051,2025-08-15,Maharashtra,Maharashtra City 1,4G,96.43,29.25,1.1,22.5,72,1,3.38
AIR100052,2025-09-15,Tamil Nadu,Tamil Nadu City 2,4G,99.49,45.05,0.96,44.4,85,0,3.82
AIR100053,2025-10-15,Delhi,Delhi City 2,4G,99.56,51.86,1.24,33.4,66,0,3.5
AIR100054,2025-11-15,Karnataka,Karnataka City 2,4G,98.07,62.92,0.42,41.6,89,1,3.52
AIR100055,2025-12-15,West Bengal,West Bengal City 3,4G,98.15,56.67,0.14,46.8,73,1,3.46
AIR100056,2025-02-15,Delhi,Delhi City 1,4G,97.8,53.7,1.21,28.2,108,0,2.82
AIR100057,2025-03-15,Karnataka,Karnataka City 1,4G,99.7,50.1,1.38,37.2,115,0,4.32
AIR100058,2025-04-15,Gujarat,Gujarat City 2,4G,99.43,12.19,1.14,35.9,80,1,3.64
AIR100059,2025-05-15,Gujarat,Gujarat City 1,5G,98.8,130.04,0.48,21,140,1,4.32
AIR100060,2025-06-15,Uttar Pradesh,Uttar Pradesh City 3,5G,98.92,159.64,1.04,23,63,0,3.2
AIR100061,2025-07-15,Delhi,Delhi City 1,4G,99.64,26.93,0.9,38,50,0,3.6
AIR100062,2025-08-15,Gujarat,Gujarat City 2,4G,99.85,47.3,1.03,47.8,44,1,3.79
AIR100063,2025-09-15,Karnataka,Karnataka City 3,4G,98.54,26.18,1.18,34.2,99,1,3.37
AIR100064,2025-10-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.66,54.27,1.04,40.7,83,1,3.13
AIR100065,2025-11-15,Karnataka,Karnataka City 2,4G,98.25,33.59,0.7,10.9,145,0,4.02
AIR100066,2025-12-15,Uttar Pradesh,Uttar Pradesh City 1,4G,97.82,73.52,1.42,34.6,64,0,3.1
AIR100067,2025-02-15,Delhi,Delhi City 2,5G,99.35,147.62,0.73,17.8,63,0,4.22
AIR100068,2025-03-15,West Bengal,West Bengal City 1,5G,99.85,160.12,0.78,15.3,69,1,3.71
AIR100069,2025-04-15,Telangana,Telangana City 1,4G,97.6,45.39,1.17,39.8,127,0,2.87
AIR100070,2025-05-15,Rajasthan,Rajasthan City 3,4G,98.48,54.5,0.81,25.6,95,0,3.64
AIR100071,2025-06-15,West Bengal,West Bengal City 2,5G,99.42,179.17,0.7,22.1,51,0,3.66
AIR100072,2025-07-15,Kerala,Kerala City 3,5G,99.46,154.35,0.98,23,134,0,4.03
AIR100073,2025-08-15,Karnataka,Karnataka City 2,5G,98.01,98.84,0.71,24.7,118,1,3.23
AIR100074,2025-09-15,Kerala,Kerala City 2,4G,98.18,54.45,1.26,49.7,50,0,3.9
AIR100075,2025-10-15,West Bengal,West Bengal City 3,4G,97.97,38.73,1.21,55.2,145,0,2.97
AIR100076,2025-11-15,Uttar Pradesh,Uttar Pradesh City 2,4G,99.43,26.32,1.06,30.2,111,0,4.41
AIR100077,2025-12-15,Rajasthan,Rajasthan City 2,4G,97.99,43.7,0.77,31.9,70,0,4.01
AIR100078,2025-02-15,Rajasthan,Rajasthan City 1,4G,97.6,40.33,1.1,46.1,24,0,3.57
AIR100079,2025-03-15,Tamil Nadu,Tamil Nadu City 2,4G,98.87,47.94,0.58,37.9,86,0,3.56
AIR100080,2025-04-15,Rajasthan,Rajasthan City 2,5G,98.71,140.61,1.02,21.4,63,0,3.1
AIR100081,2025-05-15,Telangana,Telangana City 3,5G,99.47,155.03,0.8,21.6,123,0,3.89
AIR100082,2025-06-15,Rajasthan,Rajasthan City 3,4G,98.88,51.1,1.16,27.5,40,0,3.34
AIR100083,2025-07-15,West Bengal,West Bengal City 2,5G,99.42,137.68,0.63,20.6,100,0,3.74
AIR100084,2025-08-15,Tamil Nadu,Tamil Nadu City 1,4G,98.07,24.68,0.9,42.3,132,0,3.02
AIR100085,2025-09-15,West Bengal,West Bengal City 1,5G,98.69,165.38,0.61,13.5,47,0,3.83
AIR100086,2025-10-15,West Bengal,West Bengal City 3,4G,99,47.09,1.5,53.2,6,0,3.4
AIR100087,2025-11-15,Maharashtra,Maharashtra City 2,4G,99.46,34.48,1.03,31.5,61,0,3.59
AIR100088,2025-12-15,Tamil Nadu,Tamil Nadu City 2,4G,100,50.34,0.73,27.2,76,0,3.86
AIR100089,2025-02-15,West Bengal,West Bengal City 1,4G,98.86,45.26,0.8,30.1,65,1,3.48
AIR100090,2025-03-15,Maharashtra,Maharashtra City 1,4G,99.73,42.94,0.88,19.9,83,0,3.47
AIR100091,2025-04-15,Maharashtra,Maharashtra City 1,4G,97.8,36.82,1.5,45.4,146,0,3.44
AIR100092,2025-05-15,Tamil Nadu,Tamil Nadu City 3,5G,99.03,213.76,0.68,16,79,1,3.61
AIR100093,2025-06-15,Kerala,Kerala City 2,4G,97.36,57.84,1.04,43.3,46,0,3.24
AIR100094,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.32,61.47,0.94,32.6,93,0,4.06
AIR100095,2025-08-15,Telangana,Telangana City 2,4G,98.04,35.26,1.69,22.9,90,0,3.35
AIR100096,2025-09-15,Uttar Pradesh,Uttar Pradesh City 3,4G,99.66,42.9,1.49,61.2,67,0,3.35
AIR100097,2025-10-15,Rajasthan,Rajasthan City 2,4G,97.99,33.53,0.9,29.9,53,0,3.7
AIR100098,2025-11-15,Telangana,Telangana City 1,5G,99.33,67.47,0.3,14.8,89,0,3.98
AIR100099,2025-12-15,Rajasthan,Rajasthan City 1,4G,98.98,48.09,1.3,37.9,95,1,3.34
AIR100100,2025-02-15,West Bengal,West Bengal City 1,4G,99.2,45.78,0.74,52.1,78,0,3.88
AIR100101,2025-03-15,Karnataka,Karnataka City 3,5G,99.62,176.91,0.59,19.7,11,0,4.02
AIR100102,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,98.93,59.65,1.12,27.1,45,0,3.2
AIR100103,2025-05-15,Telangana,Telangana City 2,4G,98.94,39.21,0.98,29,97,0,3.4
AIR100104,2025-06-15,Telangana,Telangana City 3,5G,99.06,114.11,0.84,17.3,43,0,4.48
AIR100105,2025-07-15,West Bengal,West Bengal City 2,4G,96.82,34.88,1.07,35.6,27,0,2.81
AIR100106,2025-08-15,Kerala,Kerala City 3,4G,97.8,57.68,1.34,38.5,71,0,3.16
AIR100107,2025-09-15,Maharashtra,Maharashtra City 2,5G,99.4,141.39,0.05,16,74,0,3.56
AIR100108,2025-10-15,West Bengal,West Bengal City 2,4G,98.25,44.42,0.89,46.7,74,0,3.42
AIR100109,2025-11-15,Gujarat,Gujarat City 3,4G,98.9,44.18,1.08,44.6,24,0,3.86
AIR100110,2025-12-15,Maharashtra,Maharashtra City 3,5G,98.97,152.01,0.89,24.5,5,0,4.11
AIR100111,2025-02-15,Tamil Nadu,Tamil Nadu City 1,4G,97.7,57.01,1.13,40.9,65,1,3.23
AIR100112,2025-03-15,Maharashtra,Maharashtra City 1,4G,96.81,55.99,1.3,43,64,0,2.89
AIR100113,2025-04-15,Kerala,Kerala City 2,5G,99.38,152.35,1.16,16.5,67,0,3.26
AIR100114,2025-05-15,Maharashtra,Maharashtra City 2,5G,99.3,169.81,0.38,23.8,130,0,4.01
AIR100115,2025-06-15,Tamil Nadu,Tamil Nadu City 2,4G,98.5,59.32,1.52,39.5,70,1,3.29
AIR100116,2025-07-15,Kerala,Kerala City 3,4G,99.31,34.23,0.92,37,103,1,4.04
AIR100117,2025-08-15,Uttar Pradesh,Uttar Pradesh City 3,5G,98.96,101.7,0.67,21.9,67,1,4.29
AIR100118,2025-09-15,Telangana,Telangana City 1,5G,99.36,148.07,0.62,20.8,78,0,4.05
AIR100119,2025-10-15,Telangana,Telangana City 2,4G,97.89,53.77,0.79,34.5,14,0,3.36
AIR100120,2025-11-15,Rajasthan,Rajasthan City 1,4G,97.3,64.34,0.96,45.4,32,1,4.11
AIR100121,2025-12-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.14,37.63,1.43,40.5,151,0,3.62
AIR100122,2025-02-15,Uttar Pradesh,Uttar Pradesh City 3,5G,99.69,149.35,0.36,27.6,63,0,3.7
AIR100123,2025-03-15,Maharashtra,Maharashtra City 3,5G,99.73,156.83,0.32,14.3,69,0,3.48
AIR100124,2025-04-15,Telangana,Telangana City 1,5G,99.29,210.35,0.37,23.2,92,0,3.91
AIR100125,2025-05-15,Tamil Nadu,Tamil Nadu City 3,5G,98.64,172.49,0.95,9.2,57,0,3.68
AIR100126,2025-06-15,Delhi,Delhi City 2,4G,98.35,66.39,0.94,24.8,37,1,4.04
AIR100127,2025-07-15,Delhi,Delhi City 1,4G,99.21,62.71,0.48,42,35,0,3.71
AIR100128,2025-08-15,Kerala,Kerala City 3,5G,99.62,133.12,0.93,22,90,0,4.11
AIR100129,2025-09-15,Telangana,Telangana City 1,5G,99.44,95.23,0.54,23.8,98,0,4.07
AIR100130,2025-10-15,Telangana,Telangana City 1,4G,100,31.61,0.99,45.1,78,0,4.06
AIR100131,2025-11-15,Delhi,Delhi City 3,4G,97.74,46.73,1.63,44.5,5,1,3.38
AIR100132,2025-12-15,Telangana,Telangana City 3,5G,100,113.5,0.48,15.5,28,0,4.41
AIR100133,2025-02-15,Maharashtra,Maharashtra City 1,4G,98.06,40.43,1.39,44.1,79,0,2.87
AIR100134,2025-03-15,Gujarat,Gujarat City 1,4G,98.01,47.98,1.42,38.3,73,0,3.33
AIR100135,2025-04-15,Karnataka,Karnataka City 3,4G,96.92,36.73,0.69,64.9,38,1,3.59
AIR100136,2025-05-15,Uttar Pradesh,Uttar Pradesh City 2,4G,97.75,37.88,1.11,25.9,102,1,2.76
AIR100137,2025-06-15,Rajasthan,Rajasthan City 1,4G,98.56,33.7,1.42,44.5,55,1,3.36
AIR100138,2025-07-15,Kerala,Kerala City 1,5G,99.25,199.36,0.83,8.1,68,0,4.46
AIR100139,2025-08-15,Gujarat,Gujarat City 2,4G,97.21,66.05,1.08,50.7,55,0,3.31
AIR100140,2025-09-15,Delhi,Delhi City 3,4G,97.29,51.5,0.59,45,80,0,3.56
AIR100141,2025-10-15,Uttar Pradesh,Uttar Pradesh City 3,4G,97.46,23.07,0.93,42.9,126,1,3.23
AIR100142,2025-11-15,Telangana,Telangana City 2,5G,99,58.54,0.55,14.5,10,0,3.98
AIR100143,2025-12-15,Rajasthan,Rajasthan City 3,5G,99.25,113.91,0.56,19.1,5,0,3.56
AIR100144,2025-02-15,Telangana,Telangana City 3,5G,98.8,218.35,0.94,5,80,1,3.56
AIR100145,2025-03-15,Tamil Nadu,Tamil Nadu City 1,5G,99.54,147.31,0.25,28.4,47,1,4.2
AIR100146,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,98.04,51.94,1.16,27.5,82,1,3.63
AIR100147,2025-05-15,Rajasthan,Rajasthan City 1,4G,98.24,43.86,0.87,32,80,1,3.61
AIR100148,2025-06-15,Rajasthan,Rajasthan City 2,4G,98.89,48.05,1.6,28.8,155,1,3.69
AIR100149,2025-07-15,Delhi,Delhi City 3,4G,98.79,53.12,1.48,44.5,90,0,3.04
AIR100150,2025-08-15,Rajasthan,Rajasthan City 3,5G,98.91,87.15,0.39,19.5,92,0,4.02
AIR100151,2025-09-15,Maharashtra,Maharashtra City 1,4G,98.23,51.43,1.27,28.4,50,0,3.47
AIR100152,2025-10-15,Telangana,Telangana City 1,5G,99.01,147.2,0.56,16,35,0,3.67
AIR100153,2025-11-15,Gujarat,Gujarat City 2,4G,98.47,48.21,1.09,33.2,130,0,3.91
AIR100154,2025-12-15,West Bengal,West Bengal City 3,4G,97.19,32.18,1.13,25.2,104,1,3.5
AIR100155,2025-02-15,Rajasthan,Rajasthan City 2,4G,98.63,43.33,1.17,29,132,0,3.77
AIR100156,2025-03-15,Kerala,Kerala City 3,4G,98.55,62.01,1.17,51.2,97,0,3.75
AIR100157,2025-04-15,Tamil Nadu,Tamil Nadu City 2,4G,99.22,44.51,1.28,34.8,18,0,3.58
AIR100158,2025-05-15,Maharashtra,Maharashtra City 1,4G,99.01,54.51,1.26,49.8,124,0,3.47
AIR100159,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,4G,98.67,51.21,0.73,31.7,146,0,3.25
AIR100160,2025-07-15,West Bengal,West Bengal City 2,4G,96.86,58.74,0.44,23.7,49,0,3.48
AIR100161,2025-08-15,Gujarat,Gujarat City 1,4G,97.89,64.59,1.76,41.9,50,0,3.43
AIR100162,2025-09-15,West Bengal,West Bengal City 3,4G,98.75,20.22,0.45,31.2,60,0,4.48
AIR100163,2025-10-15,Rajasthan,Rajasthan City 3,4G,99.42,37.15,1.27,41.7,79,0,3.98
AIR100164,2025-11-15,Delhi,Delhi City 1,4G,98.79,45.52,1.38,47.3,62,0,3.49
AIR100165,2025-12-15,Tamil Nadu,Tamil Nadu City 2,4G,97.18,70.42,1.01,54.6,141,0,2.76
AIR100166,2025-02-15,Tamil Nadu,Tamil Nadu City 2,4G,99.58,58.18,1.01,40.1,34,0,3.84
AIR100167,2025-03-15,Uttar Pradesh,Uttar Pradesh City 2,4G,98.31,51.57,0.91,62.2,72,0,2.94
AIR100168,2025-04-15,Delhi,Delhi City 3,4G,98.66,51.78,1.05,45.5,48,0,3.95
AIR100169,2025-05-15,Telangana,Telangana City 2,4G,98.72,33.46,1.64,39.2,91,1,3.32
AIR100170,2025-06-15,Karnataka,Karnataka City 3,5G,98.13,91.03,0.26,22.7,151,1,3.47
AIR100171,2025-07-15,Maharashtra,Maharashtra City 2,4G,97.58,26.25,1.24,20.5,47,0,3.57
AIR100172,2025-08-15,Tamil Nadu,Tamil Nadu City 1,5G,98.44,100.53,0.29,6.5,59,0,3.47
AIR100173,2025-09-15,Kerala,Kerala City 1,4G,97.59,50.97,0.94,25.7,47,0,4.18
AIR100174,2025-10-15,Tamil Nadu,Tamil Nadu City 3,4G,97.81,56.04,1.22,48.3,120,0,2.77
AIR100175,2025-11-15,West Bengal,West Bengal City 3,5G,99.56,234.35,0.37,10.3,137,0,4.32
AIR100176,2025-12-15,Tamil Nadu,Tamil Nadu City 1,4G,96.78,40.87,1.02,28.4,129,1,3.69
AIR100177,2025-02-15,Tamil Nadu,Tamil Nadu City 1,5G,98.87,146.72,0.63,21.6,67,0,3.86
AIR100178,2025-03-15,Karnataka,Karnataka City 2,4G,99.21,60.99,1.01,42.5,71,0,3.83
AIR100179,2025-04-15,Karnataka,Karnataka City 1,4G,98.69,65.84,0.89,24,76,1,3.95
AIR100180,2025-05-15,Gujarat,Gujarat City 3,5G,98.64,215.38,0.3,22.3,116,1,3.47
AIR100181,2025-06-15,Telangana,Telangana City 1,4G,98.57,30.2,0.93,56.5,42,0,3.01
AIR100182,2025-07-15,Kerala,Kerala City 3,4G,99.13,44.71,0.43,44.4,93,1,3.7
AIR100183,2025-08-15,Tamil Nadu,Tamil Nadu City 3,4G,97.88,51.76,1.19,25.7,86,0,3.58
AIR100184,2025-09-15,Tamil Nadu,Tamil Nadu City 2,4G,98.49,48.37,0.47,37,133,0,3.52
AIR100185,2025-10-15,Maharashtra,Maharashtra City 2,4G,98.69,51.52,1.32,42.2,7,0,3.39
AIR100186,2025-11-15,Karnataka,Karnataka City 2,4G,97.57,47.62,0.51,37.7,53,0,3.44
AIR100187,2025-12-15,Kerala,Kerala City 2,5G,99.41,197.32,0.46,18.5,85,0,3.71
AIR100188,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,5G,98.67,116.5,0.47,17.6,61,0,4.08
AIR100189,2025-03-15,Gujarat,Gujarat City 2,4G,97.78,55.41,1.05,37,97,0,3.01
AIR100190,2025-04-15,Telangana,Telangana City 1,5G,98.81,135.3,0.57,10.1,62,0,3.98
AIR100191,2025-05-15,Delhi,Delhi City 2,4G,98.01,56.1,1.39,37.4,51,1,3.12
AIR100192,2025-06-15,Telangana,Telangana City 2,4G,98.95,17.03,1.39,40.8,70,1,3.59
AIR100193,2025-07-15,West Bengal,West Bengal City 3,5G,99.74,118.34,0.52,23.1,5,0,4.69
AIR100194,2025-08-15,Tamil Nadu,Tamil Nadu City 1,5G,98.36,107.49,0.69,24.4,58,0,3.93
AIR100195,2025-09-15,Gujarat,Gujarat City 3,5G,99.13,161.04,1.2,20.7,53,1,3.58
AIR100196,2025-10-15,West Bengal,West Bengal City 2,4G,98.31,59.14,0.75,44.6,79,1,3.65
AIR100197,2025-11-15,Kerala,Kerala City 1,4G,96.14,53.87,0.91,39.7,67,0,3.35
AIR100198,2025-12-15,Delhi,Delhi City 2,5G,99.11,132.46,0.51,24.3,122,0,4.09
AIR100199,2025-02-15,Karnataka,Karnataka City 3,4G,98.01,63.75,0.95,46.1,125,0,3.77
AIR100200,2025-03-15,Gujarat,Gujarat City 1,5G,98.84,158.34,0.46,12.3,114,1,4.05
AIR100201,2025-04-15,Gujarat,Gujarat City 3,4G,98.46,45.24,0.66,38.7,51,0,3.78
AIR100202,2025-05-15,Tamil Nadu,Tamil Nadu City 2,5G,98.87,172.2,0.98,19.4,132,1,3.77
AIR100203,2025-06-15,Rajasthan,Rajasthan City 2,4G,98.6,48.67,1.21,37.4,10,0,3.06
AIR100204,2025-07-15,Gujarat,Gujarat City 2,4G,98.35,46.85,1.29,35.4,35,0,3.43
AIR100205,2025-08-15,Maharashtra,Maharashtra City 1,4G,99.4,55.51,1.27,32.5,67,0,3.55
AIR100206,2025-09-15,Delhi,Delhi City 3,5G,98.55,126.03,0.32,13.4,115,0,4.35
AIR100207,2025-10-15,Delhi,Delhi City 3,5G,99.6,133.64,0.92,20.7,98,0,3.56
AIR100208,2025-11-15,Maharashtra,Maharashtra City 2,4G,99.41,33.65,1.23,37.9,94,0,3.64
AIR100209,2025-12-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.5,46.52,1.07,32.5,39,1,3.82
AIR100210,2025-02-15,Maharashtra,Maharashtra City 1,4G,98.13,49.68,0.77,46.2,62,0,4.11
AIR100211,2025-03-15,Maharashtra,Maharashtra City 2,4G,97.65,36.75,1.16,32.5,8,1,2.94
AIR100212,2025-04-15,Delhi,Delhi City 2,4G,98.44,42.58,0.98,29.8,52,0,4.34
AIR100213,2025-05-15,Telangana,Telangana City 2,4G,99.64,52.75,1.27,44.9,81,0,3.53
AIR100214,2025-06-15,Delhi,Delhi City 1,4G,98.45,34.88,1.04,39.1,5,0,4.3
AIR100215,2025-07-15,Rajasthan,Rajasthan City 2,4G,98.5,54.11,0.67,34.2,102,0,4.37
AIR100216,2025-08-15,Tamil Nadu,Tamil Nadu City 2,5G,99.94,127.7,0.51,8.5,115,0,4.33
AIR100217,2025-09-15,West Bengal,West Bengal City 2,5G,99.79,103.54,0.84,8.9,60,0,3.59
AIR100218,2025-10-15,Telangana,Telangana City 2,4G,98.2,39.9,1.17,45,67,0,2.34
AIR100219,2025-11-15,Karnataka,Karnataka City 3,4G,98.55,34.75,0.75,29.7,56,0,3.46
AIR100220,2025-12-15,West Bengal,West Bengal City 2,5G,98.26,126.23,0.58,17.4,101,0,3.52
AIR100221,2025-02-15,Tamil Nadu,Tamil Nadu City 1,5G,99.16,196.17,0.81,17.8,81,0,3.01
AIR100222,2025-03-15,Rajasthan,Rajasthan City 2,4G,98.64,27.98,0.77,23.1,5,0,3.42
AIR100223,2025-04-15,Rajasthan,Rajasthan City 2,5G,98.97,152.36,0.25,26.2,83,1,3.9
AIR100224,2025-05-15,Karnataka,Karnataka City 3,4G,97.7,48.1,0.63,33.3,82,0,3.3
AIR100225,2025-06-15,Telangana,Telangana City 2,4G,97.57,37.86,0.76,31.2,57,0,3.27
AIR100226,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.96,27.69,0.91,34.7,57,0,4.73
AIR100227,2025-08-15,Maharashtra,Maharashtra City 1,4G,98.56,33.75,0.82,52.2,74,0,3.64
AIR100228,2025-09-15,Telangana,Telangana City 3,5G,98.86,165.52,0.67,14.1,54,1,3.84
AIR100229,2025-10-15,Uttar Pradesh,Uttar Pradesh City 2,4G,97.14,55.93,1.02,31.8,91,1,2.8
AIR100230,2025-11-15,Rajasthan,Rajasthan City 1,4G,98.17,27.45,1.11,48.2,43,0,3.34
AIR100231,2025-12-15,Delhi,Delhi City 2,5G,98.16,120.82,0.61,17.6,34,0,4.02
AIR100232,2025-02-15,Tamil Nadu,Tamil Nadu City 3,5G,99.29,203.46,0.83,17.7,59,0,3.51
AIR100233,2025-03-15,Karnataka,Karnataka City 1,5G,99.55,194.31,0.84,23.9,117,0,3.42
AIR100234,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,98.8,38.83,1.29,59.9,28,0,3.31
AIR100235,2025-05-15,Kerala,Kerala City 3,4G,98.35,44.99,0.97,55.3,31,0,2.95
AIR100236,2025-06-15,Kerala,Kerala City 3,5G,98.94,199.67,0.6,19.8,116,0,4.44
AIR100237,2025-07-15,Telangana,Telangana City 1,4G,98.92,48.64,0.87,39.1,19,0,2.74
AIR100238,2025-08-15,Rajasthan,Rajasthan City 1,4G,98.37,28.77,1.17,36,82,1,3.34
AIR100239,2025-09-15,Rajasthan,Rajasthan City 3,4G,98.33,37.97,1.52,21.8,93,0,3.39
AIR100240,2025-10-15,Maharashtra,Maharashtra City 2,4G,98.35,69.97,0.29,48.6,60,0,3.49
AIR100241,2025-11-15,Maharashtra,Maharashtra City 1,4G,97.6,41.11,1.39,40.9,121,0,3.39
AIR100242,2025-12-15,Maharashtra,Maharashtra City 3,4G,98.22,43.9,1.04,54.6,21,0,3.52
AIR100243,2025-02-15,Delhi,Delhi City 2,4G,99.09,28.96,1.48,58.5,67,0,3.48
AIR100244,2025-03-15,West Bengal,West Bengal City 1,4G,96.98,15.77,1.1,43.4,146,0,3.25
AIR100245,2025-04-15,Gujarat,Gujarat City 1,4G,99,57.35,1.21,33,89,0,3.55
AIR100246,2025-05-15,West Bengal,West Bengal City 3,4G,98.51,55.86,1.03,45.2,115,0,3.39
