Customer_ID,Report_Date,State,City,Network_Type,Network_Availability_Pct,Download_Speed_Mbps,Upload_Speed_Mbps,Latency_ms,Call_Drop_Rate_Pct,Network_Downtime_Min
AIR100124,2025-04-15,Telangana,Telangana City 1,5G,99.29,210.35,83.3,23.2,0.37,92
AIR100125,2025-05-15,Tamil Nadu,Tamil Nadu City 3,5G,98.64,172.49,56.39,9.2,0.95,57
AIR100126,2025-06-15,Delhi,Delhi City 2,4G,98.35,66.39,25.27,24.8,0.94,37
AIR100127,2025-07-15,Delhi,Delhi City 1,4G,99.21,62.71,21.49,42,0.48,35
AIR100128,2025-08-15,Kerala,Kerala City 3,5G,99.62,133.12,73.27,22,0.93,90
AIR100129,2025-09-15,Telangana,Telangana City 1,5G,99.44,95.23,41.52,23.8,0.54,98
AIR100130,2025-10-15,Telangana,Telangana City 1,4G,100,31.61,22.23,45.1,0.99,78
AIR100131,2025-11-15,Delhi,Delhi City 3,4G,97.74,46.73,16.69,44.5,1.63,5
AIR100132,2025-12-15,Telangana,Telangana City 3,5G,100,113.5,35.85,15.5,0.48,28
AIR100133,2025-02-15,Maharashtra,Maharashtra City 1,4G,98.06,40.43,12.42,44.1,1.39,79
AIR100134,2025-03-15,Gujarat,Gujarat City 1,4G,98.01,47.98,17.05,38.3,1.42,73
AIR100135,2025-04-15,Karnataka,Karnataka City 3,4G,96.92,36.73,17.03,64.9,0.69,38
AIR100136,2025-05-15,Uttar Pradesh,Uttar Pradesh City 2,4G,97.75,37.88,13.72,25.9,1.11,102
AIR100137,2025-06-15,Rajasthan,Rajasthan City 1,4G,98.56,33.7,24.68,44.5,1.42,55
AIR100138,2025-07-15,Kerala,Kerala City 1,5G,99.25,199.36,31.13,8.1,0.83,68
AIR100139,2025-08-15,Gujarat,Gujarat City 2,4G,97.21,66.05,20.07,50.7,1.08,55
AIR100140,2025-09-15,Delhi,Delhi City 3,4G,97.29,51.5,11.66,45,0.59,80
AIR100141,2025-10-15,Uttar Pradesh,Uttar Pradesh City 3,4G,97.46,23.07,26.3,42.9,0.93,126
AIR100142,2025-11-15,Telangana,Telangana City 2,5G,99,58.54,44.98,14.5,0.55,10
AIR100143,2025-12-15,Rajasthan,Rajasthan City 3,5G,99.25,113.91,74.78,19.1,0.56,5
AIR100144,2025-02-15,Telangana,Telangana City 3,5G,98.8,218.35,68.62,5,0.94,80
AIR100145,2025-03-15,Tamil Nadu,Tamil Nadu City 1,5G,99.54,147.31,61.72,28.4,0.25,47
AIR100146,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,98.04,51.94,15.93,27.5,1.16,82
AIR100147,2025-05-15,Rajasthan,Rajasthan City 1,4G,98.24,43.86,14.88,32,0.87,80
AIR100148,2025-06-15,Rajasthan,Rajasthan City 2,4G,98.89,48.05,13.67,28.8,1.6,155
AIR100149,2025-07-15,Delhi,Delhi City 3,4G,98.79,53.12,19.97,44.5,1.48,90
AIR100150,2025-08-15,Rajasthan,Rajasthan City 3,5G,98.91,87.15,62.29,19.5,0.39,92
AIR100151,2025-09-15,Maharashtra,Maharashtra City 1,4G,98.23,51.43,17.78,28.4,1.27,50
AIR100152,2025-10-15,Telangana,Telangana City 1,5G,99.01,147.2,84.47,16,0.56,35
AIR100153,2025-11-15,Gujarat,Gujarat City 2,4G,98.47,48.21,13.68,33.2,1.09,130
AIR100154,2025-12-15,West Bengal,West Bengal City 3,4G,97.19,32.18,14.79,25.2,1.13,104
AIR100155,2025-02-15,Rajasthan,Rajasthan City 2,4G,98.63,43.33,22.54,29,1.17,132
AIR100156,2025-03-15,Kerala,Kerala City 3,4G,98.55,62.01,21,51.2,1.17,97
AIR100157,2025-04-15,Tamil Nadu,Tamil Nadu City 2,4G,99.22,44.51,18.42,34.8,1.28,18
AIR100158,2025-05-15,Maharashtra,Maharashtra City 1,4G,99.01,54.51,23.67,49.8,1.26,124
AIR100159,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,4G,98.67,51.21,24.29,31.7,0.73,146
AIR100160,2025-07-15,West Bengal,West Bengal City 2,4G,96.86,58.74,16.3,23.7,0.44,49
AIR100161,2025-08-15,Gujarat,Gujarat City 1,4G,97.89,64.59,15.95,41.9,1.76,50
AIR100162,2025-09-15,West Bengal,West Bengal City 3,4G,98.75,20.22,23.87,31.2,0.45,60
AIR100163,2025-10-15,Rajasthan,Rajasthan City 3,4G,99.42,37.15,24.13,41.7,1.27,79
AIR100164,2025-11-15,Delhi,Delhi City 1,4G,98.79,45.52,16.65,47.3,1.38,62
AIR100165,2025-12-15,Tamil Nadu,Tamil Nadu City 2,4G,97.18,70.42,4.06,54.6,1.01,141
AIR100166,2025-02-15,Tamil Nadu,Tamil Nadu City 2,4G,99.58,58.18,23.75,40.1,1.01,34
AIR100167,2025-03-15,Uttar Pradesh,Uttar Pradesh City 2,4G,98.31,51.57,16.75,62.2,0.91,72
AIR100168,2025-04-15,Delhi,Delhi City 3,4G,98.66,51.78,11.05,45.5,1.05,48
AIR100169,2025-05-15,Telangana,Telangana City 2,4G,98.72,33.46,23.48,39.2,1.64,91
AIR100170,2025-06-15,Karnataka,Karnataka City 3,5G,98.13,91.03,33.58,22.7,0.26,151
AIR100171,2025-07-15,Maharashtra,Maharashtra City 2,4G,97.58,26.25,22.2,20.5,1.24,47
AIR100172,2025-08-15,Tamil Nadu,Tamil Nadu City 1,5G,98.44,100.53,68.07,6.5,0.29,59
AIR100173,2025-09-15,Kerala,Kerala City 1,4G,97.59,50.97,24.2,25.7,0.94,47
AIR100174,2025-10-15,Tamil Nadu,Tamil Nadu City 3,4G,97.81,56.04,15.45,48.3,1.22,120
AIR100175,2025-11-15,West Bengal,West Bengal City 3,5G,99.56,234.35,71.17,10.3,0.37,137
AIR100176,2025-12-15,Tamil Nadu,Tamil Nadu City 1,4G,96.78,40.87,16.1,28.4,1.02,129
AIR100177,2025-02-15,Tamil Nadu,Tamil Nadu City 1,5G,98.87,146.72,103.54,21.6,0.63,67
AIR100178,2025-03-15,Karnataka,Karnataka City 2,4G,99.21,60.99,20.82,42.5,1.01,71
AIR100179,2025-04-15,Karnataka,Karnataka City 1,4G,98.69,65.84,13.69,24,0.89,76
AIR100180,2025-05-15,Gujarat,Gujarat City 3,5G,98.64,215.38,79.25,22.3,0.3,116
AIR100181,2025-06-15,Telangana,Telangana City 1,4G,98.57,30.2,11.42,56.5,0.93,42
AIR100182,2025-07-15,Kerala,Kerala City 3,4G,99.13,44.71,14.29,44.4,0.43,93
AIR100183,2025-08-15,Tamil Nadu,Tamil Nadu City 3,4G,97.88,51.76,21.38,25.7,1.19,86
AIR100184,2025-09-15,Tamil Nadu,Tamil Nadu City 2,4G,98.49,48.37,22.57,37,0.47,133
AIR100185,2025-10-15,Maharashtra,Maharashtra City 2,4G,98.69,51.52,18.37,42.2,1.32,7
AIR100186,2025-11-15,Karnataka,Karnataka City 2,4G,97.57,47.62,13.75,37.7,0.51,53
AIR100187,2025-12-15,Kerala,Kerala City 2,5G,99.41,197.32,77.4,18.5,0.46,85
AIR100188,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,5G,98.67,116.5,81.34,17.6,0.47,61
AIR100189,2025-03-15,Gujarat,Gujarat City 2,4G,97.78,55.41,12.28,37,1.05,97
AIR100190,2025-04-15,Telangana,Telangana City 1,5G,98.81,135.3,82.53,10.1,0.57,62
AIR100191,2025-05-15,Delhi,Delhi City 2,4G,98.01,56.1,16,37.4,1.39,51
AIR100192,2025-06-15,Telangana,Telangana City 2,4G,98.95,17.03,11.77,40.8,1.39,70
AIR100193,2025-07-15,West Bengal,West Bengal City 3,5G,99.74,118.34,88.34,23.1,0.52,5
AIR100194,2025-08-15,Tamil Nadu,Tamil Nadu City 1,5G,98.36,107.49,68.33,24.4,0.69,58
AIR100195,2025-09-15,Gujarat,Gujarat City 3,5G,99.13,161.04,46.29,20.7,1.2,53
AIR100196,2025-10-15,West Bengal,West Bengal City 2,4G,98.31,59.14,28.29,44.6,0.75,79
AIR100197,2025-11-15,Kerala,Kerala City 1,4G,96.14,53.87,13.03,39.7,0.91,67
AIR100198,2025-12-15,Delhi,Delhi City 2,5G,99.11,132.46,85.05,24.3,0.51,122
AIR100199,2025-02-15,Karnataka,Karnataka City 3,4G,98.01,63.75,6.78,46.1,0.95,125
AIR100200,2025-03-15,Gujarat,Gujarat City 1,5G,98.84,158.34,40.3,12.3,0.46,114
AIR100201,2025-04-15,Gujarat,Gujarat City 3,4G,98.46,45.24,22.7,38.7,0.66,51
AIR100202,2025-05-15,Tamil Nadu,Tamil Nadu City 2,5G,98.87,172.2,88.14,19.4,0.98,132
AIR100203,2025-06-15,Rajasthan,Rajasthan City 2,4G,98.6,48.67,18,37.4,1.21,10
AIR100204,2025-07-15,Gujarat,Gujarat City 2,4G,98.35,46.85,12.42,35.4,1.29,35
AIR100205,2025-08-15,Maharashtra,Maharashtra City 1,4G,99.4,55.51,16.47,32.5,1.27,67
AIR100206,2025-09-15,Delhi,Delhi City 3,5G,98.55,126.03,94.86,13.4,0.32,115
AIR100207,2025-10-15,Delhi,Delhi City 3,5G,99.6,133.64,79.82,20.7,0.92,98
AIR100208,2025-11-15,Maharashtra,Maharashtra City 2,4G,99.41,33.65,11.17,37.9,1.23,94
AIR100209,2025-12-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.5,46.52,10.85,32.5,1.07,39
AIR100210,2025-02-15,Maharashtra,Maharashtra City 1,4G,98.13,49.68,11.11,46.2,0.77,62
AIR100211,2025-03-15,Maharashtra,Maharashtra City 2,4G,97.65,36.75,16.34,32.5,1.16,8
AIR100212,2025-04-15,Delhi,Delhi City 2,4G,98.44,42.58,26.89,29.8,0.98,52
AIR100213,2025-05-15,Telangana,Telangana City 2,4G,99.64,52.75,16.57,44.9,1.27,81
AIR100214,2025-06-15,Delhi,Delhi City 1,4G,98.45,34.88,19.73,39.1,1.04,5
AIR100215,2025-07-15,Rajasthan,Rajasthan City 2,4G,98.5,54.11,9.27,34.2,0.67,102
AIR100216,2025-08-15,Tamil Nadu,Tamil Nadu City 2,5G,99.94,127.7,36.01,8.5,0.51,115
AIR100217,2025-09-15,West Bengal,West Bengal City 2,5G,99.79,103.54,62.65,8.9,0.84,60
AIR100218,2025-10-15,Telangana,Telangana City 2,4G,98.2,39.9,32.85,45,1.17,67
AIR100219,2025-11-15,Karnataka,Karnataka City 3,4G,98.55,34.75,8.26,29.7,0.75,56
AIR100220,2025-12-15,West Bengal,West Bengal City 2,5G,98.26,126.23,43.15,17.4,0.58,101
AIR100221,2025-02-15,Tamil Nadu,Tamil Nadu City 1,5G,99.16,196.17,43.04,17.8,0.81,81
AIR100222,2025-03-15,Rajasthan,Rajasthan City 2,4G,98.64,27.98,9.62,23.1,0.77,5
AIR100223,2025-04-15,Rajasthan,Rajasthan City 2,5G,98.97,152.36,62.8,26.2,0.25,83
AIR100224,2025-05-15,Karnataka,Karnataka City 3,4G,97.7,48.1,27.5,33.3,0.63,82
AIR100225,2025-06-15,Telangana,Telangana City 2,4G,97.57,37.86,15.5,31.2,0.76,57
AIR100226,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,98.96,27.69,17.85,34.7,0.91,57
AIR100227,2025-08-15,Maharashtra,Maharashtra City 1,4G,98.56,33.75,25.42,52.2,0.82,74
AIR100228,2025-09-15,Telangana,Telangana City 3,5G,98.86,165.52,53.59,14.1,0.67,54
AIR100229,2025-10-15,Uttar Pradesh,Uttar Pradesh City 2,4G,97.14,55.93,23.2,31.8,1.02,91
AIR100230,2025-11-15,Rajasthan,Rajasthan City 1,4G,98.17,27.45,17.47,48.2,1.11,43
AIR100231,2025-12-15,Delhi,Delhi City 2,5G,98.16,120.82,49.24,17.6,0.61,34
AIR100232,2025-02-15,Tamil Nadu,Tamil Nadu City 3,5G,99.29,203.46,42.65,17.7,0.83,59
AIR100233,2025-03-15,Karnataka,Karnataka City 1,5G,99.55,194.31,63.69,23.9,0.84,117
AIR100234,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,98.8,38.83,20.38,59.9,1.29,28
AIR100235,2025-05-15,Kerala,Kerala City 3,4G,98.35,44.99,18.47,55.3,0.97,31
AIR100236,2025-06-15,Kerala,Kerala City 3,5G,98.94,199.67,104.69,19.8,0.6,116
AIR100237,2025-07-15,Telangana,Telangana City 1,4G,98.92,48.64,22.85,39.1,0.87,19
AIR100238,2025-08-15,Rajasthan,Rajasthan City 1,4G,98.37,28.77,31.29,36,1.17,82
AIR100239,2025-09-15,Rajasthan,Rajasthan City 3,4G,98.33,37.97,21.19,21.8,1.52,93
AIR100240,2025-10-15,Maharashtra,Maharashtra City 2,4G,98.35,69.97,15.8,48.6,0.29,60
AIR100241,2025-11-15,Maharashtra,Maharashtra City 1,4G,97.6,41.11,21.73,40.9,1.39,121
AIR100242,2025-12-15,Maharashtra,Maharashtra City 3,4G,98.22,43.9,25.53,54.6,1.04,21
AIR100243,2025-02-15,Delhi,Delhi City 2,4G,99.09,28.96,9.14,58.5,1.48,67
AIR100244,2025-03-15,West Bengal,West Bengal City 1,4G,96.98,15.77,11.41,43.4,1.1,146
AIR100245,2025-04-15,Gujarat,Gujarat City 1,4G,99,57.35,14.65,33,1.21,89
AIR100246,2025-05-15,West Bengal,West Bengal City 3,4G,98.51,55.86,20.15,45.2,1.03,115
AIR100247,2025-06-15,Tamil Nadu,Tamil Nadu City 2,5G,99.77,144.47,69.46,8.1,0.74,49
AIR100248,2025-07-15,West Bengal,West Bengal City 1,5G,99.24,149.25,55.09,19.2,0.7,66
AIR100249,2025-08-15,Delhi,Delhi City 2,4G,98.08,47.29,4.46,25.4,1.25,52
AIR100250,2025-09-15,Tamil Nadu,Tamil Nadu City 2,4G,97.16,63.59,18.02,36.9,0.87,44
AIR100251,2025-10-15,West Bengal,West Bengal City 1,4G,97.93,54.35,23.33,41.5,1.34,54
AIR100252,2025-11-15,Delhi,Delhi City 2,4G,98.46,54.66,19.05,28.7,1.09,113
AIR100253,2025-12-15,Gujarat,Gujarat City 1,4G,99.4,46.47,26,44.6,1.55,104
AIR100254,2025-02-15,West Bengal,West Bengal City 2,4G,98.41,29.88,17.17,21,0.96,118
AIR100255,2025-03-15,Delhi,Delhi City 1,5G,100,143.72,35.8,23.5,0.7,111
AIR100256,2025-04-15,Maharashtra,Maharashtra City 3,4G,98.17,5.45,17.92,32.4,1.69,60
