Customer_ID,Usage_Date,State,City,Network_Type,Customer_Segment,Tenure_Years,Data_Usage_GB,Voice_Usage_Min,Customer_Satisfaction,NPS_Score
AIR100094,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,0.6,1.98,180,4.06,23
AIR100095,2025-08-15,Telangana,Telangana City 2,4G,Prepaid,6.4,39.57,516,3.35,14
AIR100096,2025-09-15,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,1.9,31.75,544,3.35,18
AIR100097,2025-10-15,Rajasthan,Rajasthan City 2,4G,Postpaid,4.5,7.75,36,3.7,38
AIR100098,2025-11-15,Telangana,Telangana City 1,5G,Postpaid,3.9,18.98,453,3.98,39
AIR100099,2025-12-15,Rajasthan,Rajasthan City 1,4G,Prepaid,2.5,10,326,3.34,6
AIR100100,2025-02-15,West Bengal,West Bengal City 1,4G,Prepaid,5.2,18.75,221,3.88,32
AIR100101,2025-03-15,Karnataka,Karnataka City 3,5G,Prepaid,3.6,22.85,870,4.02,47
AIR100102,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,Broadband,4.7,43.02,755,3.2,5
AIR100103,2025-05-15,Telangana,Telangana City 2,4G,Prepaid,0.9,14.04,451,3.4,4
AIR100104,2025-06-15,Telangana,Telangana City 3,5G,Prepaid,3.4,44.49,288,4.48,56
AIR100105,2025-07-15,West Bengal,West Bengal City 2,4G,Prepaid,6.2,23.35,488,2.81,1
AIR100106,2025-08-15,Kerala,Kerala City 3,4G,Prepaid,1.2,28.25,636,3.16,12
AIR100107,2025-09-15,Maharashtra,Maharashtra City 2,5G,Postpaid,0.9,37.39,521,3.56,22
AIR100108,2025-10-15,West Bengal,West Bengal City 2,4G,Broadband,6.2,1.01,553,3.42,13
AIR100109,2025-11-15,Gujarat,Gujarat City 3,4G,Prepaid,1.2,5.17,244,3.86,29
AIR100110,2025-12-15,Maharashtra,Maharashtra City 3,5G,Postpaid,3.3,31.18,540,4.11,20
AIR100111,2025-02-15,Tamil Nadu,Tamil Nadu City 1,4G,Prepaid,4.3,14.94,611,3.23,16
AIR100112,2025-03-15,Maharashtra,Maharashtra City 1,4G,Enterprise,2.6,30.98,507,2.89,-7
AIR100113,2025-04-15,Kerala,Kerala City 2,5G,Prepaid,5,37.4,563,3.26,14
AIR100114,2025-05-15,Maharashtra,Maharashtra City 2,5G,Prepaid,6.2,27.7,320,4.01,23
AIR100115,2025-06-15,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,4.7,19.77,200,3.29,17
AIR100116,2025-07-15,Kerala,Kerala City 3,4G,Prepaid,2.5,12.42,265,4.04,37
AIR100117,2025-08-15,Uttar Pradesh,Uttar Pradesh City 3,5G,Prepaid,5.4,21.15,402,4.29,47
AIR100118,2025-09-15,Telangana,Telangana City 1,5G,Postpaid,3.5,29.91,524,4.05,63
AIR100119,2025-10-15,Telangana,Telangana City 2,4G,Postpaid,2.2,26.74,368,3.36,22
AIR100120,2025-11-15,Rajasthan,Rajasthan City 1,4G,Postpaid,1.7,18.83,645,4.11,25
AIR100121,2025-12-15,Uttar Pradesh,Uttar Pradesh City 3,4G,Postpaid,1.9,28.56,598,3.62,7
AIR100122,2025-02-15,Uttar Pradesh,Uttar Pradesh City 3,5G,Postpaid,4.4,21.14,635,3.7,30
AIR100123,2025-03-15,Maharashtra,Maharashtra City 3,5G,Postpaid,5.5,59.28,727,3.48,19
AIR100124,2025-04-15,Telangana,Telangana City 1,5G,Postpaid,5,37.32,698,3.91,45
AIR100125,2025-05-15,Tamil Nadu,Tamil Nadu City 3,5G,Postpaid,6.1,64.61,732,3.68,30
AIR100126,2025-06-15,Delhi,Delhi City 2,4G,Prepaid,6.4,44.15,650,4.04,31
AIR100127,2025-07-15,Delhi,Delhi City 1,4G,Prepaid,3.5,11.41,645,3.71,29
AIR100128,2025-08-15,Kerala,Kerala City 3,5G,Prepaid,3.9,50.43,410,4.11,39
AIR100129,2025-09-15,Telangana,Telangana City 1,5G,Prepaid,1,33.81,439,4.07,24
AIR100130,2025-10-15,Telangana,Telangana City 1,4G,Postpaid,6.1,33.54,461,4.06,20
AIR100131,2025-11-15,Delhi,Delhi City 3,4G,Prepaid,2.4,3.35,432,3.38,18
AIR100132,2025-12-15,Telangana,Telangana City 3,5G,Prepaid,4.2,16.67,146,4.41,47
AIR100133,2025-02-15,Maharashtra,Maharashtra City 1,4G,Prepaid,1.4,1.49,489,2.87,-1
AIR100134,2025-03-15,Gujarat,Gujarat City 1,4G,Prepaid,5.5,5.24,602,3.33,2
AIR100135,2025-04-15,Karnataka,Karnataka City 3,4G,Postpaid,6.2,20.42,280,3.59,18
AIR100136,2025-05-15,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,2.5,23.28,315,2.76,-11
AIR100137,2025-06-15,Rajasthan,Rajasthan City 1,4G,Postpaid,0.6,18.25,450,3.36,8
AIR100138,2025-07-15,Kerala,Kerala City 1,5G,Prepaid,2.4,13.89,130,4.46,66
AIR100139,2025-08-15,Gujarat,Gujarat City 2,4G,Broadband,4.8,26.79,121,3.31,20
AIR100140,2025-09-15,Delhi,Delhi City 3,4G,Enterprise,1.4,14.45,291,3.56,23
AIR100141,2025-10-15,Uttar Pradesh,Uttar Pradesh City 3,4G,Postpaid,6.1,17.28,364,3.23,-6
AIR100142,2025-11-15,Telangana,Telangana City 2,5G,Broadband,6.7,41.64,288,3.98,29
AIR100143,2025-12-15,Rajasthan,Rajasthan City 3,5G,Postpaid,5.7,35.39,356,3.56,31
AIR100144,2025-02-15,Telangana,Telangana City 3,5G,Broadband,0.6,7.51,299,3.56,19
AIR100145,2025-03-15,Tamil Nadu,Tamil Nadu City 1,5G,Broadband,1.8,37.07,480,4.2,37
AIR100146,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,Enterprise,3.8,9.73,45,3.63,22
AIR100147,2025-05-15,Rajasthan,Rajasthan City 1,4G,Postpaid,5.9,13.97,184,3.61,34
AIR100148,2025-06-15,Rajasthan,Rajasthan City 2,4G,Postpaid,3.7,21.17,640,3.69,33
AIR100149,2025-07-15,Delhi,Delhi City 3,4G,Postpaid,4.7,6.88,334,3.04,22
AIR100150,2025-08-15,Rajasthan,Rajasthan City 3,5G,Prepaid,1.1,38.14,415,4.02,32
AIR100151,2025-09-15,Maharashtra,Maharashtra City 1,4G,Prepaid,3.6,1,718,3.47,17
AIR100152,2025-10-15,Telangana,Telangana City 1,5G,Broadband,2.2,12.43,252,3.67,10
AIR100153,2025-11-15,Gujarat,Gujarat City 2,4G,Prepaid,6.7,18.76,590,3.91,21
AIR100154,2025-12-15,West Bengal,West Bengal City 3,4G,Postpaid,4.4,27.24,354,3.5,25
AIR100155,2025-02-15,Rajasthan,Rajasthan City 2,4G,Prepaid,0.2,23.74,325,3.77,22
AIR100156,2025-03-15,Kerala,Kerala City 3,4G,Prepaid,1.2,13.02,434,3.75,37
AIR100157,2025-04-15,Tamil Nadu,Tamil Nadu City 2,4G,Broadband,2.2,20.43,331,3.58,33
AIR100158,2025-05-15,Maharashtra,Maharashtra City 1,4G,Broadband,6.1,22.15,386,3.47,17
AIR100159,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,0.6,14.15,592,3.25,-12
AIR100160,2025-07-15,West Bengal,West Bengal City 2,4G,Prepaid,6,20.25,604,3.48,27
AIR100161,2025-08-15,Gujarat,Gujarat City 1,4G,Postpaid,4.8,15.23,68,3.43,13
AIR100162,2025-09-15,West Bengal,West Bengal City 3,4G,Prepaid,0.8,26.2,429,4.48,40
AIR100163,2025-10-15,Rajasthan,Rajasthan City 3,4G,Prepaid,6.2,9.8,382,3.98,35
AIR100164,2025-11-15,Delhi,Delhi City 1,4G,Prepaid,1.7,8.89,138,3.49,30
AIR100165,2025-12-15,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,2.6,15.67,744,2.76,-22
AIR100166,2025-02-15,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,1.3,12.62,631,3.84,30
AIR100167,2025-03-15,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,0.5,13.65,595,2.94,9
AIR100168,2025-04-15,Delhi,Delhi City 3,4G,Prepaid,2.7,38.57,646,3.95,17
AIR100169,2025-05-15,Telangana,Telangana City 2,4G,Prepaid,0.5,17.23,586,3.32,14
AIR100170,2025-06-15,Karnataka,Karnataka City 3,5G,Prepaid,6,52.55,526,3.47,7
AIR100171,2025-07-15,Maharashtra,Maharashtra City 2,4G,Enterprise,2.2,26.88,316,3.57,30
AIR100172,2025-08-15,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,5.6,32.57,606,3.47,-1
AIR100173,2025-09-15,Kerala,Kerala City 1,4G,Prepaid,4.8,11.25,410,4.18,51
AIR100174,2025-10-15,Tamil Nadu,Tamil Nadu City 3,4G,Postpaid,6.5,21.23,506,2.77,-14
AIR100175,2025-11-15,West Bengal,West Bengal City 3,5G,Broadband,3.8,50.08,707,4.32,34
AIR100176,2025-12-15,Tamil Nadu,Tamil Nadu City 1,4G,Postpaid,4.9,11.67,744,3.69,24
AIR100177,2025-02-15,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,1,41.9,281,3.86,42
AIR100178,2025-03-15,Karnataka,Karnataka City 2,4G,Prepaid,4.9,30.32,454,3.83,21
AIR100179,2025-04-15,Karnataka,Karnataka City 1,4G,Postpaid,0.4,37.37,142,3.95,38
AIR100180,2025-05-15,Gujarat,Gujarat City 3,5G,Postpaid,0.7,37.69,419,3.47,13
AIR100181,2025-06-15,Telangana,Telangana City 1,4G,Postpaid,2.3,9.44,444,3.01,4
AIR100182,2025-07-15,Kerala,Kerala City 3,4G,Broadband,3.9,27.87,506,3.7,24
AIR100183,2025-08-15,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,4.7,19.9,438,3.58,11
AIR100184,2025-09-15,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,3.7,22.38,274,3.52,35
AIR100185,2025-10-15,Maharashtra,Maharashtra City 2,4G,Broadband,1.7,13.03,367,3.39,3
AIR100186,2025-11-15,Karnataka,Karnataka City 2,4G,Postpaid,6.8,19.13,473,3.44,11
AIR100187,2025-12-15,Kerala,Kerala City 2,5G,Prepaid,5.1,19.33,397,3.71,28
AIR100188,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,5G,Prepaid,5.1,36.4,579,4.08,21
AIR100189,2025-03-15,Gujarat,Gujarat City 2,4G,Broadband,2.8,1.45,141,3.01,-1
AIR100190,2025-04-15,Telangana,Telangana City 1,5G,Prepaid,6.3,30.44,598,3.98,26
AIR100191,2025-05-15,Delhi,Delhi City 2,4G,Prepaid,2.2,18.52,425,3.12,10
AIR100192,2025-06-15,Telangana,Telangana City 2,4G,Prepaid,2,7.89,660,3.59,14
AIR100193,2025-07-15,West Bengal,West Bengal City 3,5G,Broadband,1.7,9.12,388,4.69,54
AIR100194,2025-08-15,Tamil Nadu,Tamil Nadu City 1,5G,Broadband,6.5,54.33,20,3.93,47
AIR100195,2025-09-15,Gujarat,Gujarat City 3,5G,Postpaid,2,35.76,266,3.58,16
AIR100196,2025-10-15,West Bengal,West Bengal City 2,4G,Postpaid,1.2,2.6,350,3.65,27
AIR100197,2025-11-15,Kerala,Kerala City 1,4G,Prepaid,6.2,19.36,542,3.35,28
AIR100198,2025-12-15,Delhi,Delhi City 2,5G,Prepaid,6.1,34.13,375,4.09,46
AIR100199,2025-02-15,Karnataka,Karnataka City 3,4G,Broadband,5.6,21.72,351,3.77,9
AIR100200,2025-03-15,Gujarat,Gujarat City 1,5G,Prepaid,0.9,62.37,266,4.05,44
AIR100201,2025-04-15,Gujarat,Gujarat City 3,4G,Postpaid,6.2,14.62,699,3.78,14
AIR100202,2025-05-15,Tamil Nadu,Tamil Nadu City 2,5G,Postpaid,6.3,32.61,330,3.77,18
AIR100203,2025-06-15,Rajasthan,Rajasthan City 2,4G,Prepaid,6.4,18.91,537,3.06,-5
AIR100204,2025-07-15,Gujarat,Gujarat City 2,4G,Postpaid,4,13.59,420,3.43,-8
AIR100205,2025-08-15,Maharashtra,Maharashtra City 1,4G,Postpaid,5.9,37.15,157,3.55,11
AIR100206,2025-09-15,Delhi,Delhi City 3,5G,Postpaid,3.8,39.92,87,4.35,51
AIR100207,2025-10-15,Delhi,Delhi City 3,5G,Prepaid,6,1,436,3.56,12
AIR100208,2025-11-15,Maharashtra,Maharashtra City 2,4G,Prepaid,4.6,42.12,745,3.64,38
AIR100209,2025-12-15,Uttar Pradesh,Uttar Pradesh City 3,4G,Postpaid,1.7,26.12,327,3.82,24
AIR100210,2025-02-15,Maharashtra,Maharashtra City 1,4G,Enterprise,2.5,29.54,181,4.11,48
AIR100211,2025-03-15,Maharashtra,Maharashtra City 2,4G,Prepaid,1.9,20.69,392,2.94,5
AIR100212,2025-04-15,Delhi,Delhi City 2,4G,Enterprise,3.7,1,424,4.34,56
AIR100213,2025-05-15,Telangana,Telangana City 2,4G,Postpaid,5.1,8.13,276,3.53,24
AIR100214,2025-06-15,Delhi,Delhi City 1,4G,Broadband,5.3,23.3,649,4.3,49
AIR100215,2025-07-15,Rajasthan,Rajasthan City 2,4G,Prepaid,2.5,11.3,309,4.37,56
AIR100216,2025-08-15,Tamil Nadu,Tamil Nadu City 2,5G,Prepaid,2.7,14.43,337,4.33,46
AIR100217,2025-09-15,West Bengal,West Bengal City 2,5G,Prepaid,1,40.32,544,3.59,24
AIR100218,2025-10-15,Telangana,Telangana City 2,4G,Prepaid,1.8,15.81,385,2.34,-27
AIR100219,2025-11-15,Karnataka,Karnataka City 3,4G,Enterprise,4.6,12.51,533,3.46,20
AIR100220,2025-12-15,West Bengal,West Bengal City 2,5G,Prepaid,3.4,22.84,225,3.52,25
AIR100221,2025-02-15,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,5.4,42.11,453,3.01,-8
AIR100222,2025-03-15,Rajasthan,Rajasthan City 2,4G,Prepaid,0.9,27.17,221,3.42,25
AIR100223,2025-04-15,Rajasthan,Rajasthan City 2,5G,Postpaid,2.3,17.75,776,3.9,34
AIR100224,2025-05-15,Karnataka,Karnataka City 3,4G,Prepaid,2.2,17.21,460,3.3,-8
AIR100225,2025-06-15,Telangana,Telangana City 2,4G,Prepaid,6.1,15.85,385,3.27,15
AIR100226,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,4.3,13.24,176,4.73,68
AIR100227,2025-08-15,Maharashtra,Maharashtra City 1,4G,Postpaid,1.5,28.03,474,3.64,29
AIR100228,2025-09-15,Telangana,Telangana City 3,5G,Prepaid,4.6,25.69,186,3.84,31
AIR100229,2025-10-15,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,1.5,4.17,426,2.8,3
AIR100230,2025-11-15,Rajasthan,Rajasthan City 1,4G,Prepaid,6.4,19.03,204,3.34,11
AIR100231,2025-12-15,Delhi,Delhi City 2,5G,Enterprise,0.9,33.97,357,4.02,23
AIR100232,2025-02-15,Tamil Nadu,Tamil Nadu City 3,5G,Postpaid,4.5,19.66,359,3.51,7
AIR100233,2025-03-15,Karnataka,Karnataka City 1,5G,Postpaid,4.7,14.95,344,3.42,8
AIR100234,2025-04-15,Tamil Nadu,Tamil Nadu City 1,4G,Postpaid,0.3,11.64,313,3.31,1
AIR100235,2025-05-15,Kerala,Kerala City 3,4G,Prepaid,2.6,20.56,493,2.95,20
AIR100236,2025-06-15,Kerala,Kerala City 3,5G,Postpaid,5.3,38.44,593,4.44,59
AIR100237,2025-07-15,Telangana,Telangana City 1,4G,Prepaid,1.7,15.85,512,2.74,-3
AIR100238,2025-08-15,Rajasthan,Rajasthan City 1,4G,Prepaid,1.7,29.07,142,3.34,11
AIR100239,2025-09-15,Rajasthan,Rajasthan City 3,4G,Postpaid,3.2,7.34,174,3.39,-5
AIR100240,2025-10-15,Maharashtra,Maharashtra City 2,4G,Postpaid,5.4,32.47,358,3.49,26
AIR100241,2025-11-15,Maharashtra,Maharashtra City 1,4G,Prepaid,2.1,46.36,379,3.39,4
AIR100242,2025-12-15,Maharashtra,Maharashtra City 3,4G,Prepaid,2.5,14.66,291,3.52,14
AIR100243,2025-02-15,Delhi,Delhi City 2,4G,Postpaid,3.1,32.71,289,3.48,25
AIR100244,2025-03-15,West Bengal,West Bengal City 1,4G,Postpaid,3.5,7.01,398,3.25,-5
AIR100245,2025-04-15,Gujarat,Gujarat City 1,4G,Prepaid,2.4,13.66,511,3.55,30
AIR100246,2025-05-15,West Bengal,West Bengal City 3,4G,Prepaid,0.7,21.28,414,3.39,11
AIR100247,2025-06-15,Tamil Nadu,Tamil Nadu City 2,5G,Broadband,2,35.89,201,3.39,6
AIR100248,2025-07-15,West Bengal,West Bengal City 1,5G,Postpaid,5.2,46.98,452,4,34
AIR100249,2025-08-15,Delhi,Delhi City 2,4G,Enterprise,6.1,27.16,216,3.48,28
AIR100250,2025-09-15,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,5.1,18.07,598,2.77,-21
AIR100251,2025-10-15,West Bengal,West Bengal City 1,4G,Postpaid,2.9,35.24,520,3.27,16
AIR100252,2025-11-15,Delhi,Delhi City 2,4G,Prepaid,2.8,22.29,278,3.69,10
AIR100253,2025-12-15,Gujarat,Gujarat City 1,4G,Postpaid,2.5,9.78,390,3.8,31
AIR100254,2025-02-15,West Bengal,West Bengal City 2,4G,Prepaid,2.6,1,366,4.18,49
AIR100255,2025-03-15,Delhi,Delhi City 1,5G,Prepaid,1.9,22.86,804,3.89,40
AIR100256,2025-04-15,Maharashtra,Maharashtra City 3,4G,Prepaid,5.3,11.67,597,3.22,-6
