Customer_ID,Complaint_Date,State,City,Customer_Segment,Complaint_Flag,Complaint_Category,Complaint_Status,Resolution_Time_Hours,Customer_Satisfaction,NPS_Score
AIR100018,2025-08-15,West Bengal,West Bengal City 1,Prepaid,1,Call Drops,Pending,19,3.4,8
AIR100019,2025-09-15,Gujarat,Gujarat City 3,Postpaid,0,Network Issues,No Complaint,13.5,3.38,11
AIR100020,2025-10-15,Karnataka,Karnataka City 2,Postpaid,0,Network Issues,No Complaint,10.1,3.56,5
AIR100021,2025-11-15,Kerala,Kerala City 3,Postpaid,0,Slow Internet,No Complaint,42.3,3.59,7
AIR100022,2025-12-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,0,Network Issues,No Complaint,8.7,3.64,26
AIR100023,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,Prepaid,0,Slow Internet,No Complaint,24.3,3.51,25
AIR100024,2025-03-15,Gujarat,Gujarat City 3,Enterprise,0,Network Issues,No Complaint,9.4,2.64,-7
AIR100025,2025-04-15,Rajasthan,Rajasthan City 3,Broadband,1,Network Issues,Resolved,23.3,3.93,24
AIR100026,2025-05-15,Tamil Nadu,Tamil Nadu City 3,Prepaid,0,Others,No Complaint,37,3.3,8
AIR100027,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,1,Slow Internet,In Progress,7.5,3.62,25
AIR100028,2025-07-15,Maharashtra,Maharashtra City 1,Prepaid,1,Call Drops,Resolved,5.5,3.31,-5
AIR100029,2025-08-15,Telangana,Telangana City 3,Postpaid,0,Slow Internet,No Complaint,13.2,3.16,13
AIR100030,2025-09-15,Delhi,Delhi City 1,Broadband,0,Slow Internet,No Complaint,7.2,4.22,45
AIR100031,2025-10-15,Rajasthan,Rajasthan City 3,Postpaid,0,Network Issues,No Complaint,13.6,4.19,32
AIR100032,2025-11-15,Maharashtra,Maharashtra City 1,Broadband,0,Slow Internet,No Complaint,12.3,3.16,-3
AIR100033,2025-12-15,Kerala,Kerala City 2,Prepaid,0,Network Issues,No Complaint,25.1,4.19,40
AIR100034,2025-02-15,Maharashtra,Maharashtra City 1,Postpaid,1,Slow Internet,Resolved,30.6,3.46,5
AIR100035,2025-03-15,Telangana,Telangana City 3,Prepaid,0,Slow Internet,No Complaint,20.5,4.05,54
AIR100036,2025-04-15,Kerala,Kerala City 1,Prepaid,0,Slow Internet,No Complaint,26.5,3.7,13
AIR100037,2025-05-15,Rajasthan,Rajasthan City 2,Postpaid,1,Network Issues,Pending,21.7,3.14,12
AIR100038,2025-06-15,Telangana,Telangana City 2,Prepaid,0,Network Issues,No Complaint,16.7,2.87,7
AIR100039,2025-07-15,Karnataka,Karnataka City 1,Postpaid,0,Slow Internet,No Complaint,4.7,3.84,12
AIR100040,2025-08-15,Delhi,Delhi City 3,Postpaid,0,Billing Issues,No Complaint,5.9,3,0
AIR100041,2025-09-15,Rajasthan,Rajasthan City 2,Broadband,1,Slow Internet,Resolved,30.9,3.43,19
AIR100042,2025-10-15,Karnataka,Karnataka City 2,Prepaid,0,Billing Issues,No Complaint,16.4,4.08,30
AIR100043,2025-11-15,Uttar Pradesh,Uttar Pradesh City 1,Postpaid,0,Call Drops,No Complaint,17.5,3.35,8
AIR100044,2025-12-15,Rajasthan,Rajasthan City 2,Enterprise,1,Call Drops,Resolved,55.5,3.11,-4
AIR100045,2025-02-15,Uttar Pradesh,Uttar Pradesh City 2,Broadband,0,Call Drops,No Complaint,12.7,3.42,28
AIR100046,2025-03-15,Kerala,Kerala City 3,Postpaid,0,Network Issues,No Complaint,9.8,3.74,30
AIR100047,2025-04-15,Karnataka,Karnataka City 3,Postpaid,0,Billing Issues,No Complaint,10.1,3.14,13
AIR100048,2025-05-15,Delhi,Delhi City 3,Prepaid,0,Call Drops,No Complaint,8.7,3.3,20
AIR100049,2025-06-15,Telangana,Telangana City 1,Postpaid,1,Network Issues,Pending,40.5,3.8,27
AIR100050,2025-07-15,West Bengal,West Bengal City 2,Postpaid,0,Network Issues,No Complaint,10.3,3.44,-2
AIR100051,2025-08-15,Maharashtra,Maharashtra City 1,Postpaid,1,Network Issues,Resolved,25.8,3.38,22
AIR100052,2025-09-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,0,Slow Internet,No Complaint,53.8,3.82,6
AIR100053,2025-10-15,Delhi,Delhi City 2,Prepaid,0,Slow Internet,No Complaint,14.2,3.5,10
AIR100054,2025-11-15,Karnataka,Karnataka City 2,Prepaid,1,Slow Internet,Pending,18.7,3.52,7
AIR100055,2025-12-15,West Bengal,West Bengal City 3,Postpaid,1,Slow Internet,Resolved,18.9,3.46,22
AIR100056,2025-02-15,Delhi,Delhi City 1,Prepaid,0,Network Issues,No Complaint,7.3,2.82,-9
AIR100057,2025-03-15,Karnataka,Karnataka City 1,Prepaid,0,Billing Issues,No Complaint,16.3,4.32,55
AIR100058,2025-04-15,Gujarat,Gujarat City 2,Prepaid,1,Network Issues,Resolved,7.9,3.64,29
AIR100059,2025-05-15,Gujarat,Gujarat City 1,Prepaid,1,Network Issues,Pending,4.5,4.32,56
AIR100060,2025-06-15,Uttar Pradesh,Uttar Pradesh City 3,Broadband,0,Slow Internet,No Complaint,39.8,3.2,8
AIR100061,2025-07-15,Delhi,Delhi City 1,Postpaid,0,Slow Internet,No Complaint,20.6,3.6,22
AIR100062,2025-08-15,Gujarat,Gujarat City 2,Prepaid,1,Network Issues,Resolved,26.3,3.79,29
AIR100063,2025-09-15,Karnataka,Karnataka City 3,Postpaid,1,Slow Internet,Pending,18,3.37,5
AIR100064,2025-10-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,1,Slow Internet,In Progress,5.6,3.13,-17
AIR100065,2025-11-15,Karnataka,Karnataka City 2,Postpaid,0,Slow Internet,No Complaint,11.3,4.02,43
AIR100066,2025-12-15,Uttar Pradesh,Uttar Pradesh City 1,Prepaid,0,Network Issues,No Complaint,12.3,3.1,8
AIR100067,2025-02-15,Delhi,Delhi City 2,Broadband,0,Billing Issues,No Complaint,6.5,4.22,56
AIR100068,2025-03-15,West Bengal,West Bengal City 1,Prepaid,1,Call Drops,Resolved,29.3,3.71,15
AIR100069,2025-04-15,Telangana,Telangana City 1,Postpaid,0,Slow Internet,No Complaint,6.6,2.87,-8
AIR100070,2025-05-15,Rajasthan,Rajasthan City 3,Broadband,0,Network Issues,No Complaint,19.3,3.64,22
AIR100071,2025-06-15,West Bengal,West Bengal City 2,Enterprise,0,Network Issues,No Complaint,23.7,3.66,24
AIR100072,2025-07-15,Kerala,Kerala City 3,Prepaid,0,Network Issues,No Complaint,17.6,4.03,12
AIR100073,2025-08-15,Karnataka,Karnataka City 2,Postpaid,1,Network Issues,Pending,6.2,3.23,-2
AIR100074,2025-09-15,Kerala,Kerala City 2,Prepaid,0,Call Drops,No Complaint,11.1,3.9,31
AIR100075,2025-10-15,West Bengal,West Bengal City 3,Postpaid,0,Network Issues,No Complaint,2,2.97,-2
AIR100076,2025-11-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,0,Network Issues,No Complaint,13.5,4.41,51
AIR100077,2025-12-15,Rajasthan,Rajasthan City 2,Broadband,0,Network Issues,No Complaint,5.1,4.01,22
AIR100078,2025-02-15,Rajasthan,Rajasthan City 1,Prepaid,0,Call Drops,No Complaint,15.9,3.57,20
AIR100079,2025-03-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,0,Network Issues,No Complaint,26.2,3.56,22
AIR100080,2025-04-15,Rajasthan,Rajasthan City 2,Postpaid,0,Slow Internet,No Complaint,53.1,3.1,4
AIR100081,2025-05-15,Telangana,Telangana City 3,Enterprise,0,Slow Internet,No Complaint,12.5,3.89,24
AIR100082,2025-06-15,Rajasthan,Rajasthan City 3,Postpaid,0,Call Drops,No Complaint,42.3,3.34,0
AIR100083,2025-07-15,West Bengal,West Bengal City 2,Prepaid,0,Network Issues,No Complaint,30.9,3.74,22
AIR100084,2025-08-15,Tamil Nadu,Tamil Nadu City 1,Prepaid,0,Network Issues,No Complaint,18.6,3.02,14
AIR100085,2025-09-15,West Bengal,West Bengal City 1,Prepaid,0,Slow Internet,No Complaint,25.8,3.83,26
AIR100086,2025-10-15,West Bengal,West Bengal City 3,Postpaid,0,Call Drops,No Complaint,14.7,3.4,25
AIR100087,2025-11-15,Maharashtra,Maharashtra City 2,Postpaid,0,Billing Issues,No Complaint,22,3.59,20
AIR100088,2025-12-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,0,Network Issues,No Complaint,14.1,3.86,24
AIR100089,2025-02-15,West Bengal,West Bengal City 1,Prepaid,1,Network Issues,Resolved,9.2,3.48,26
AIR100090,2025-03-15,Maharashtra,Maharashtra City 1,Postpaid,0,Network Issues,No Complaint,15.7,3.47,33
AIR100091,2025-04-15,Maharashtra,Maharashtra City 1,Postpaid,0,Slow Internet,No Complaint,21.9,3.44,33
AIR100092,2025-05-15,Tamil Nadu,Tamil Nadu City 3,Enterprise,1,Slow Internet,Resolved,49.8,3.61,30
AIR100093,2025-06-15,Kerala,Kerala City 2,Postpaid,0,Network Issues,No Complaint,9.5,3.24,-6
AIR100094,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,0,Slow Internet,No Complaint,18.2,4.06,23
AIR100095,2025-08-15,Telangana,Telangana City 2,Prepaid,0,Slow Internet,No Complaint,13.2,3.35,14
AIR100096,2025-09-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,0,Slow Internet,No Complaint,21.3,3.35,18
AIR100097,2025-10-15,Rajasthan,Rajasthan City 2,Postpaid,0,Network Issues,No Complaint,11.4,3.7,38
AIR100098,2025-11-15,Telangana,Telangana City 1,Postpaid,0,Network Issues,No Complaint,11.7,3.98,39
AIR100099,2025-12-15,Rajasthan,Rajasthan City 1,Prepaid,1,Slow Internet,Resolved,20.7,3.34,6
AIR100100,2025-02-15,West Bengal,West Bengal City 1,Prepaid,0,Network Issues,No Complaint,15.9,3.88,32
AIR100101,2025-03-15,Karnataka,Karnataka City 3,Prepaid,0,Network Issues,No Complaint,7.6,4.02,47
AIR100102,2025-04-15,Tamil Nadu,Tamil Nadu City 1,Broadband,0,Slow Internet,No Complaint,13,3.2,5
AIR100103,2025-05-15,Telangana,Telangana City 2,Prepaid,0,Slow Internet,No Complaint,15,3.4,4
AIR100104,2025-06-15,Telangana,Telangana City 3,Prepaid,0,Slow Internet,No Complaint,18.9,4.48,56
AIR100105,2025-07-15,West Bengal,West Bengal City 2,Prepaid,0,Slow Internet,No Complaint,12.3,2.81,1
AIR100106,2025-08-15,Kerala,Kerala City 3,Prepaid,0,Network Issues,No Complaint,17.1,3.16,12
AIR100107,2025-09-15,Maharashtra,Maharashtra City 2,Postpaid,0,Slow Internet,No Complaint,23.7,3.56,22
AIR100108,2025-10-15,West Bengal,West Bengal City 2,Broadband,0,Network Issues,No Complaint,9.2,3.42,13
AIR100109,2025-11-15,Gujarat,Gujarat City 3,Prepaid,0,Network Issues,No Complaint,13.2,3.86,29
AIR100110,2025-12-15,Maharashtra,Maharashtra City 3,Postpaid,0,Network Issues,No Complaint,43.4,4.11,20
AIR100111,2025-02-15,Tamil Nadu,Tamil Nadu City 1,Prepaid,1,Network Issues,Pending,8.6,3.23,16
AIR100112,2025-03-15,Maharashtra,Maharashtra City 1,Enterprise,0,Slow Internet,No Complaint,7.9,2.89,-7
AIR100113,2025-04-15,Kerala,Kerala City 2,Prepaid,0,Call Drops,No Complaint,8,3.26,14
AIR100114,2025-05-15,Maharashtra,Maharashtra City 2,Prepaid,0,Slow Internet,No Complaint,62.4,4.01,23
AIR100115,2025-06-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,1,Network Issues,Resolved,3.5,3.29,17
AIR100116,2025-07-15,Kerala,Kerala City 3,Prepaid,1,Slow Internet,Resolved,4.4,4.04,37
AIR100117,2025-08-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,1,Billing Issues,Resolved,41.5,4.29,47
AIR100118,2025-09-15,Telangana,Telangana City 1,Postpaid,0,Billing Issues,No Complaint,27.1,4.05,63
AIR100119,2025-10-15,Telangana,Telangana City 2,Postpaid,0,Slow Internet,No Complaint,32.9,3.36,22
AIR100120,2025-11-15,Rajasthan,Rajasthan City 1,Postpaid,1,Slow Internet,Resolved,22.2,4.11,25
AIR100121,2025-12-15,Uttar Pradesh,Uttar Pradesh City 3,Postpaid,0,Slow Internet,No Complaint,48.3,3.62,7
AIR100122,2025-02-15,Uttar Pradesh,Uttar Pradesh City 3,Postpaid,0,Call Drops,No Complaint,25.7,3.7,30
AIR100123,2025-03-15,Maharashtra,Maharashtra City 3,Postpaid,0,Call Drops,No Complaint,6.9,3.48,19
AIR100124,2025-04-15,Telangana,Telangana City 1,Postpaid,0,Slow Internet,No Complaint,5.3,3.91,45
AIR100125,2025-05-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Network Issues,No Complaint,16.9,3.68,30
AIR100126,2025-06-15,Delhi,Delhi City 2,Prepaid,1,Others,Resolved,17.9,4.04,31
AIR100127,2025-07-15,Delhi,Delhi City 1,Prepaid,0,Network Issues,No Complaint,28.3,3.71,29
AIR100128,2025-08-15,Kerala,Kerala City 3,Prepaid,0,Network Issues,No Complaint,28.4,4.11,39
AIR100129,2025-09-15,Telangana,Telangana City 1,Prepaid,0,Call Drops,No Complaint,8.9,4.07,24
AIR100130,2025-10-15,Telangana,Telangana City 1,Postpaid,0,Network Issues,No Complaint,1.8,4.06,20
AIR100131,2025-11-15,Delhi,Delhi City 3,Prepaid,1,Slow Internet,Resolved,26.4,3.38,18
AIR100132,2025-12-15,Telangana,Telangana City 3,Prepaid,0,Slow Internet,No Complaint,9.6,4.41,47
AIR100133,2025-02-15,Maharashtra,Maharashtra City 1,Prepaid,0,Call Drops,No Complaint,7.3,2.87,-1
AIR100134,2025-03-15,Gujarat,Gujarat City 1,Prepaid,0,Slow Internet,No Complaint,12.3,3.33,2
AIR100135,2025-04-15,Karnataka,Karnataka City 3,Postpaid,1,Network Issues,In Progress,16.7,3.59,18
AIR100136,2025-05-15,Uttar Pradesh,Uttar Pradesh City 2,Postpaid,1,Network Issues,Pending,2.3,2.76,-11
AIR100137,2025-06-15,Rajasthan,Rajasthan City 1,Postpaid,1,Slow Internet,Resolved,11.9,3.36,8
AIR100138,2025-07-15,Kerala,Kerala City 1,Prepaid,0,Network Issues,No Complaint,14,4.46,66
AIR100139,2025-08-15,Gujarat,Gujarat City 2,Broadband,0,Slow Internet,No Complaint,7.1,3.31,20
AIR100140,2025-09-15,Delhi,Delhi City 3,Enterprise,0,Network Issues,No Complaint,8.8,3.56,23
AIR100141,2025-10-15,Uttar Pradesh,Uttar Pradesh City 3,Postpaid,1,Network Issues,In Progress,10.1,3.23,-6
AIR100142,2025-11-15,Telangana,Telangana City 2,Broadband,0,Slow Internet,No Complaint,22.6,3.98,29
AIR100143,2025-12-15,Rajasthan,Rajasthan City 3,Postpaid,0,Network Issues,No Complaint,18.3,3.56,31
AIR100144,2025-02-15,Telangana,Telangana City 3,Broadband,1,Others,Resolved,3.1,3.56,19
AIR100145,2025-03-15,Tamil Nadu,Tamil Nadu City 1,Broadband,1,Call Drops,Resolved,8.9,4.2,37
AIR100146,2025-04-15,Tamil Nadu,Tamil Nadu City 1,Enterprise,1,Slow Internet,Pending,5,3.63,22
AIR100147,2025-05-15,Rajasthan,Rajasthan City 1,Postpaid,1,Network Issues,Resolved,19.8,3.61,34
AIR100148,2025-06-15,Rajasthan,Rajasthan City 2,Postpaid,1,Slow Internet,Resolved,18.9,3.69,33
AIR100149,2025-07-15,Delhi,Delhi City 3,Postpaid,0,Slow Internet,No Complaint,11.9,3.04,22
AIR100150,2025-08-15,Rajasthan,Rajasthan City 3,Prepaid,0,Slow Internet,No Complaint,18.5,4.02,32
AIR100151,2025-09-15,Maharashtra,Maharashtra City 1,Prepaid,0,Slow Internet,No Complaint,22.2,3.47,17
AIR100152,2025-10-15,Telangana,Telangana City 1,Broadband,0,Network Issues,No Complaint,24.1,3.67,10
AIR100153,2025-11-15,Gujarat,Gujarat City 2,Prepaid,0,Billing Issues,No Complaint,31.1,3.91,21
AIR100154,2025-12-15,West Bengal,West Bengal City 3,Postpaid,1,Network Issues,Resolved,7.6,3.5,25
AIR100155,2025-02-15,Rajasthan,Rajasthan City 2,Prepaid,0,Network Issues,No Complaint,5.1,3.77,22
AIR100156,2025-03-15,Kerala,Kerala City 3,Prepaid,0,Network Issues,No Complaint,14.7,3.75,37
AIR100157,2025-04-15,Tamil Nadu,Tamil Nadu City 2,Broadband,0,Network Issues,No Complaint,6.3,3.58,33
AIR100158,2025-05-15,Maharashtra,Maharashtra City 1,Broadband,0,Network Issues,No Complaint,37.5,3.47,17
AIR100159,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,Postpaid,0,Network Issues,No Complaint,18.7,3.25,-12
AIR100160,2025-07-15,West Bengal,West Bengal City 2,Prepaid,0,Network Issues,No Complaint,24.6,3.48,27
AIR100161,2025-08-15,Gujarat,Gujarat City 1,Postpaid,0,Network Issues,No Complaint,45.9,3.43,13
AIR100162,2025-09-15,West Bengal,West Bengal City 3,Prepaid,0,Slow Internet,No Complaint,25.8,4.48,40
AIR100163,2025-10-15,Rajasthan,Rajasthan City 3,Prepaid,0,Network Issues,No Complaint,27.6,3.98,35
AIR100164,2025-11-15,Delhi,Delhi City 1,Prepaid,0,Network Issues,No Complaint,13.9,3.49,30
AIR100165,2025-12-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,0,Slow Internet,No Complaint,19,2.76,-22
AIR100166,2025-02-15,Tamil Nadu,Tamil Nadu City 2,Prepaid,0,Billing Issues,No Complaint,22.3,3.84,30
AIR100167,2025-03-15,Uttar Pradesh,Uttar Pradesh City 2,Postpaid,0,Slow Internet,No Complaint,10.3,2.94,9
AIR100168,2025-04-15,Delhi,Delhi City 3,Prepaid,0,Network Issues,No Complaint,4.9,3.95,17
AIR100169,2025-05-15,Telangana,Telangana City 2,Prepaid,1,Call Drops,Resolved,2.6,3.32,14
AIR100170,2025-06-15,Karnataka,Karnataka City 3,Prepaid,1,Slow Internet,Resolved,12.5,3.47,7
AIR100171,2025-07-15,Maharashtra,Maharashtra City 2,Enterprise,0,Slow Internet,No Complaint,8.6,3.57,30
AIR100172,2025-08-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,0,Slow Internet,No Complaint,11.7,3.47,-1
AIR100173,2025-09-15,Kerala,Kerala City 1,Prepaid,0,Others,No Complaint,23.7,4.18,51
AIR100174,2025-10-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Call Drops,No Complaint,7.8,2.77,-14
AIR100175,2025-11-15,West Bengal,West Bengal City 3,Broadband,0,Others,No Complaint,3.3,4.32,34
AIR100176,2025-12-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,1,Network Issues,Resolved,7.9,3.69,24
AIR100177,2025-02-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,0,Slow Internet,No Complaint,28.6,3.86,42
AIR100178,2025-03-15,Karnataka,Karnataka City 2,Prepaid,0,Call Drops,No Complaint,10.7,3.83,21
AIR100179,2025-04-15,Karnataka,Karnataka City 1,Postpaid,1,Network Issues,In Progress,4.4,3.95,38
AIR100180,2025-05-15,Gujarat,Gujarat City 3,Postpaid,1,Slow Internet,In Progress,54.1,3.47,13
AIR100181,2025-06-15,Telangana,Telangana City 1,Postpaid,0,Network Issues,No Complaint,6.9,3.01,4
AIR100182,2025-07-15,Kerala,Kerala City 3,Broadband,1,Billing Issues,Pending,8.3,3.7,24
AIR100183,2025-08-15,Tamil Nadu,Tamil Nadu City 3,Prepaid,0,Network Issues,No Complaint,13.2,3.58,11
AIR100184,2025-09-15,Tamil Nadu,Tamil Nadu City 2,Prepaid,0,Network Issues,No Complaint,3.3,3.52,35
AIR100185,2025-10-15,Maharashtra,Maharashtra City 2,Broadband,0,Slow Internet,No Complaint,14.6,3.39,3
AIR100186,2025-11-15,Karnataka,Karnataka City 2,Postpaid,0,Slow Internet,No Complaint,15,3.44,11
AIR100187,2025-12-15,Kerala,Kerala City 2,Prepaid,0,Slow Internet,No Complaint,63.1,3.71,28
AIR100188,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,Prepaid,0,Slow Internet,No Complaint,53,4.08,21
AIR100189,2025-03-15,Gujarat,Gujarat City 2,Broadband,0,Billing Issues,No Complaint,7.5,3.01,-1
AIR100190,2025-04-15,Telangana,Telangana City 1,Prepaid,0,Network Issues,No Complaint,10.6,3.98,26
AIR100191,2025-05-15,Delhi,Delhi City 2,Prepaid,1,Network Issues,Resolved,7,3.12,10
AIR100192,2025-06-15,Telangana,Telangana City 2,Prepaid,1,Slow Internet,Resolved,12.9,3.59,14
AIR100193,2025-07-15,West Bengal,West Bengal City 3,Broadband,0,Network Issues,No Complaint,10.4,4.69,54
AIR100194,2025-08-15,Tamil Nadu,Tamil Nadu City 1,Broadband,0,Others,No Complaint,19.6,3.93,47
AIR100195,2025-09-15,Gujarat,Gujarat City 3,Postpaid,1,Network Issues,Resolved,15.5,3.58,16
AIR100196,2025-10-15,West Bengal,West Bengal City 2,Postpaid,1,Network Issues,In Progress,27,3.65,27
AIR100197,2025-11-15,Kerala,Kerala City 1,Prepaid,0,Call Drops,No Complaint,10.7,3.35,28
AIR100198,2025-12-15,Delhi,Delhi City 2,Prepaid,0,Slow Internet,No Complaint,10.7,4.09,46
AIR100199,2025-02-15,Karnataka,Karnataka City 3,Broadband,0,Network Issues,No Complaint,12.3,3.77,9
AIR100200,2025-03-15,Gujarat,Gujarat City 1,Prepaid,1,Slow Internet,Resolved,4.6,4.05,44
AIR100201,2025-04-15,Gujarat,Gujarat City 3,Postpaid,0,Call Drops,No Complaint,12.5,3.78,14
AIR100202,2025-05-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,1,Network Issues,Resolved,13.5,3.77,18
AIR100203,2025-06-15,Rajasthan,Rajasthan City 2,Prepaid,0,Billing Issues,No Complaint,6.4,3.06,-5
AIR100204,2025-07-15,Gujarat,Gujarat City 2,Postpaid,0,Billing Issues,No Complaint,40.4,3.43,-8
AIR100205,2025-08-15,Maharashtra,Maharashtra City 1,Postpaid,0,Billing Issues,No Complaint,11.1,3.55,11
AIR100206,2025-09-15,Delhi,Delhi City 3,Postpaid,0,Network Issues,No Complaint,18.4,4.35,51
AIR100207,2025-10-15,Delhi,Delhi City 3,Prepaid,0,Network Issues,No Complaint,43.6,3.56,12
AIR100208,2025-11-15,Maharashtra,Maharashtra City 2,Prepaid,0,Network Issues,No Complaint,8.9,3.64,38
AIR100209,2025-12-15,Uttar Pradesh,Uttar Pradesh City 3,Postpaid,1,Network Issues,Resolved,10.9,3.82,24
AIR100210,2025-02-15,Maharashtra,Maharashtra City 1,Enterprise,0,Slow Internet,No Complaint,71.5,4.11,48
AIR100211,2025-03-15,Maharashtra,Maharashtra City 2,Prepaid,1,Network Issues,Pending,28.2,2.94,5
AIR100212,2025-04-15,Delhi,Delhi City 2,Enterprise,0,Slow Internet,No Complaint,3.1,4.34,56
AIR100213,2025-05-15,Telangana,Telangana City 2,Postpaid,0,Slow Internet,No Complaint,20.4,3.53,24
AIR100214,2025-06-15,Delhi,Delhi City 1,Broadband,0,Network Issues,No Complaint,29.9,4.3,49
AIR100215,2025-07-15,Rajasthan,Rajasthan City 2,Prepaid,0,Slow Internet,No Complaint,2.8,4.37,56
AIR100216,2025-08-15,Tamil Nadu,Tamil Nadu City 2,Prepaid,0,Network Issues,No Complaint,29.3,4.33,46
AIR100217,2025-09-15,West Bengal,West Bengal City 2,Prepaid,0,Network Issues,No Complaint,27.4,3.59,24
AIR100218,2025-10-15,Telangana,Telangana City 2,Prepaid,0,Slow Internet,No Complaint,3.5,2.34,-27
AIR100219,2025-11-15,Karnataka,Karnataka City 3,Enterprise,0,Slow Internet,No Complaint,3.7,3.46,20
AIR100220,2025-12-15,West Bengal,West Bengal City 2,Prepaid,0,Network Issues,No Complaint,39.3,3.52,25
AIR100221,2025-02-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,0,Slow Internet,No Complaint,9.8,3.01,-8
AIR100222,2025-03-15,Rajasthan,Rajasthan City 2,Prepaid,0,Network Issues,No Complaint,25.1,3.42,25
AIR100223,2025-04-15,Rajasthan,Rajasthan City 2,Postpaid,1,Network Issues,Resolved,14.2,3.9,34
AIR100224,2025-05-15,Karnataka,Karnataka City 3,Prepaid,0,Network Issues,No Complaint,20.2,3.3,-8
AIR100225,2025-06-15,Telangana,Telangana City 2,Prepaid,0,Slow Internet,No Complaint,15.8,3.27,15
AIR100226,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,0,Slow Internet,No Complaint,20.8,4.73,68
AIR100227,2025-08-15,Maharashtra,Maharashtra City 1,Postpaid,0,Slow Internet,No Complaint,25.3,3.64,29
AIR100228,2025-09-15,Telangana,Telangana City 3,Prepaid,1,Slow Internet,In Progress,58.7,3.84,31
AIR100229,2025-10-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,1,Slow Internet,Resolved,27.5,2.8,3
AIR100230,2025-11-15,Rajasthan,Rajasthan City 1,Prepaid,0,Network Issues,No Complaint,21.8,3.34,11
AIR100231,2025-12-15,Delhi,Delhi City 2,Enterprise,0,Billing Issues,No Complaint,13.3,4.02,23
AIR100232,2025-02-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Network Issues,No Complaint,28,3.51,7
AIR100233,2025-03-15,Karnataka,Karnataka City 1,Postpaid,0,Network Issues,No Complaint,15.9,3.42,8
