Customer_ID,Join_Date,State,City,Network_Type,Customer_Segment,Tenure_Years
AIR100058,2022-12-16,Gujarat,Gujarat City 2,4G,Prepaid,2.3
AIR100059,2023-05-29,Gujarat,Gujarat City 1,5G,Prepaid,2
AIR100060,2022-09-09,Uttar Pradesh,Uttar Pradesh City 3,5G,Broadband,2.8
AIR100061,2022-07-07,Delhi,Delhi City 1,4G,Postpaid,3
AIR100062,2019-07-18,Gujarat,Gujarat City 2,4G,Prepaid,6.1
AIR100063,2024-03-03,Karnataka,Karnataka City 3,4G,Postpaid,1.5
AIR100064,2022-03-06,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,3.6
AIR100065,2022-10-01,Karnataka,Karnataka City 2,4G,Postpaid,3.1
AIR100066,2024-07-27,Uttar Pradesh,Uttar Pradesh City 1,4G,Prepaid,1.4
AIR100067,2020-05-03,Delhi,Delhi City 2,5G,Broadband,4.8
AIR100068,2024-02-21,West Bengal,West Bengal City 1,5G,Prepaid,1.1
AIR100069,2024-05-06,Telangana,Telangana City 1,4G,Postpaid,0.9
AIR100070,2020-03-17,Rajasthan,Rajasthan City 3,4G,Broadband,5.2
AIR100071,2021-05-14,West Bengal,West Bengal City 2,5G,Enterprise,4.1
AIR100072,2024-01-14,Kerala,Kerala City 3,5G,Prepaid,1.5
AIR100073,2024-12-20,Karnataka,Karnataka City 2,5G,Postpaid,0.7
AIR100074,2020-10-17,Kerala,Kerala City 2,4G,Prepaid,4.9
AIR100075,2024-03-05,West Bengal,West Bengal City 3,4G,Postpaid,1.6
AIR100076,2022-10-11,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,3.1
AIR100077,2019-08-24,Rajasthan,Rajasthan City 2,4G,Broadband,6.3
AIR100078,2021-09-15,Rajasthan,Rajasthan City 1,4G,Prepaid,3.4
AIR100079,2022-10-14,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,2.4
AIR100080,2021-03-25,Rajasthan,Rajasthan City 2,5G,Postpaid,4.1
AIR100081,2022-07-18,Telangana,Telangana City 3,5G,Enterprise,2.8
AIR100082,2023-08-17,Rajasthan,Rajasthan City 3,4G,Postpaid,1.8
AIR100083,2023-03-14,West Bengal,West Bengal City 2,5G,Prepaid,2.3
AIR100084,2023-07-24,Tamil Nadu,Tamil Nadu City 1,4G,Prepaid,2.1
AIR100085,2023-12-29,West Bengal,West Bengal City 1,5G,Prepaid,1.7
AIR100086,2023-02-03,West Bengal,West Bengal City 3,4G,Postpaid,2.7
AIR100087,2023-09-29,Maharashtra,Maharashtra City 2,4G,Postpaid,2.1
AIR100088,2022-08-27,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,3.3
AIR100089,2022-05-25,West Bengal,West Bengal City 1,4G,Prepaid,2.7
AIR100090,2020-09-02,Maharashtra,Maharashtra City 1,4G,Postpaid,4.5
AIR100091,2022-08-28,Maharashtra,Maharashtra City 1,4G,Postpaid,2.6
AIR100092,2019-08-18,Tamil Nadu,Tamil Nadu City 3,5G,Enterprise,5.7
AIR100093,2019-12-06,Kerala,Kerala City 2,4G,Postpaid,5.5
AIR100094,2024-12-03,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,0.6
AIR100095,2019-03-12,Telangana,Telangana City 2,4G,Prepaid,6.4
AIR100096,2023-10-16,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,1.9
AIR100097,2021-04-29,Rajasthan,Rajasthan City 2,4G,Postpaid,4.5
AIR100098,2021-12-12,Telangana,Telangana City 1,5G,Postpaid,3.9
AIR100099,2023-06-09,Rajasthan,Rajasthan City 1,4G,Prepaid,2.5
AIR100100,2019-12-08,West Bengal,West Bengal City 1,4G,Prepaid,5.2
AIR100101,2021-07-23,Karnataka,Karnataka City 3,5G,Prepaid,3.6
AIR100102,2020-08-10,Tamil Nadu,Tamil Nadu City 1,4G,Broadband,4.7
AIR100103,2024-07-02,Telangana,Telangana City 2,4G,Prepaid,0.9
AIR100104,2022-01-07,Telangana,Telangana City 3,5G,Prepaid,3.4
AIR100105,2019-04-17,West Bengal,West Bengal City 2,4G,Prepaid,6.2
AIR100106,2024-05-26,Kerala,Kerala City 3,4G,Prepaid,1.2
AIR100107,2024-10-30,Maharashtra,Maharashtra City 2,5G,Postpaid,0.9
AIR100108,2019-08-18,West Bengal,West Bengal City 2,4G,Broadband,6.2
AIR100109,2024-08-29,Gujarat,Gujarat City 3,4G,Prepaid,1.2
AIR100110,2022-09-08,Maharashtra,Maharashtra City 3,5G,Postpaid,3.3
AIR100111,2020-10-13,Tamil Nadu,Tamil Nadu City 1,4G,Prepaid,4.3
AIR100112,2022-08-26,Maharashtra,Maharashtra City 1,4G,Enterprise,2.6
AIR100113,2020-04-16,Kerala,Kerala City 2,5G,Prepaid,5
AIR100114,2019-03-15,Maharashtra,Maharashtra City 2,5G,Prepaid,6.2
AIR100115,2020-10-15,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,4.7
AIR100116,2022-12-30,Kerala,Kerala City 3,4G,Prepaid,2.5
AIR100117,2020-04-06,Uttar Pradesh,Uttar Pradesh City 3,5G,Prepaid,5.4
AIR100118,2022-03-19,Telangana,Telangana City 1,5G,Postpaid,3.5
AIR100119,2023-07-26,Telangana,Telangana City 2,4G,Postpaid,2.2
AIR100120,2024-03-22,Rajasthan,Rajasthan City 1,4G,Postpaid,1.7
AIR100121,2024-01-30,Uttar Pradesh,Uttar Pradesh City 3,4G,Postpaid,1.9
AIR100122,2020-10-01,Uttar Pradesh,Uttar Pradesh City 3,5G,Postpaid,4.4
AIR100123,2019-10-01,Maharashtra,Maharashtra City 3,5G,Postpaid,5.5
AIR100124,2020-04-26,Telangana,Telangana City 1,5G,Postpaid,5
AIR100125,2019-03-23,Tamil Nadu,Tamil Nadu City 3,5G,Postpaid,6.1
AIR100126,2019-01-31,Delhi,Delhi City 2,4G,Prepaid,6.4
AIR100127,2022-01-12,Delhi,Delhi City 1,4G,Prepaid,3.5
AIR100128,2021-09-22,Kerala,Kerala City 3,5G,Prepaid,3.9
AIR100129,2024-09-20,Telangana,Telangana City 1,5G,Prepaid,1
AIR100130,2019-09-08,Telangana,Telangana City 1,4G,Postpaid,6.1
AIR100131,2023-06-09,Delhi,Delhi City 3,4G,Prepaid,2.4
AIR100132,2021-09-22,Telangana,Telangana City 3,5G,Prepaid,4.2
AIR100133,2023-09-15,Maharashtra,Maharashtra City 1,4G,Prepaid,1.4
AIR100134,2019-09-23,Gujarat,Gujarat City 1,4G,Prepaid,5.5
AIR100135,2019-01-22,Karnataka,Karnataka City 3,4G,Postpaid,6.2
AIR100136,2022-12-01,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,2.5
AIR100137,2024-10-24,Rajasthan,Rajasthan City 1,4G,Postpaid,0.6
AIR100138,2023-02-19,Kerala,Kerala City 1,5G,Prepaid,2.4
AIR100139,2020-11-10,Gujarat,Gujarat City 2,4G,Broadband,4.8
AIR100140,2024-04-16,Delhi,Delhi City 3,4G,Enterprise,1.4
AIR100141,2019-08-28,Uttar Pradesh,Uttar Pradesh City 3,4G,Postpaid,6.1
AIR100142,2019-02-20,Telangana,Telangana City 2,5G,Broadband,6.7
AIR100143,2020-04-20,Rajasthan,Rajasthan City 3,5G,Postpaid,5.7
AIR100144,2024-06-27,Telangana,Telangana City 3,5G,Broadband,0.6
AIR100145,2023-06-14,Tamil Nadu,Tamil Nadu City 1,5G,Broadband,1.8
AIR100146,2021-06-12,Tamil Nadu,Tamil Nadu City 1,4G,Enterprise,3.8
AIR100147,2019-06-06,Rajasthan,Rajasthan City 1,4G,Postpaid,5.9
AIR100148,2021-10-20,Rajasthan,Rajasthan City 2,4G,Postpaid,3.7
AIR100149,2020-10-27,Delhi,Delhi City 3,4G,Postpaid,4.7
AIR100150,2024-07-12,Rajasthan,Rajasthan City 3,5G,Prepaid,1.1
AIR100151,2022-02-15,Maharashtra,Maharashtra City 1,4G,Prepaid,3.6
AIR100152,2023-08-14,Telangana,Telangana City 1,5G,Broadband,2.2
AIR100153,2019-03-16,Gujarat,Gujarat City 2,4G,Prepaid,6.7
AIR100154,2021-08-09,West Bengal,West Bengal City 3,4G,Postpaid,4.4
AIR100155,2024-11-25,Rajasthan,Rajasthan City 2,4G,Prepaid,0.2
AIR100156,2024-01-01,Kerala,Kerala City 3,4G,Prepaid,1.2
AIR100157,2023-02-11,Tamil Nadu,Tamil Nadu City 2,4G,Broadband,2.2
AIR100158,2019-04-03,Maharashtra,Maharashtra City 1,4G,Broadband,6.1
AIR100159,2024-11-17,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,0.6
AIR100160,2019-06-30,West Bengal,West Bengal City 2,4G,Prepaid,6
AIR100161,2020-11-01,Gujarat,Gujarat City 1,4G,Postpaid,4.8
AIR100162,2024-11-13,West Bengal,West Bengal City 3,4G,Prepaid,0.8
AIR100163,2019-08-20,Rajasthan,Rajasthan City 3,4G,Prepaid,6.2
AIR100164,2024-02-19,Delhi,Delhi City 1,4G,Prepaid,1.7
AIR100165,2023-05-22,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,2.6
AIR100166,2023-11-08,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,1.3
AIR100167,2024-08-28,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,0.5
AIR100168,2022-08-03,Delhi,Delhi City 3,4G,Prepaid,2.7
AIR100169,2024-11-20,Telangana,Telangana City 2,4G,Prepaid,0.5
AIR100170,2019-06-08,Karnataka,Karnataka City 3,5G,Prepaid,6
AIR100171,2023-05-06,Maharashtra,Maharashtra City 2,4G,Enterprise,2.2
AIR100172,2020-01-13,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,5.6
AIR100173,2020-12-14,Kerala,Kerala City 1,4G,Prepaid,4.8
AIR100174,2019-04-02,Tamil Nadu,Tamil Nadu City 3,4G,Postpaid,6.5
AIR100175,2022-02-07,West Bengal,West Bengal City 3,5G,Broadband,3.8
AIR100176,2021-01-07,Tamil Nadu,Tamil Nadu City 1,4G,Postpaid,4.9
AIR100177,2024-02-07,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,1
AIR100178,2020-05-06,Karnataka,Karnataka City 2,4G,Prepaid,4.9
AIR100179,2024-11-20,Karnataka,Karnataka City 1,4G,Postpaid,0.4
AIR100180,2024-09-19,Gujarat,Gujarat City 3,5G,Postpaid,0.7
AIR100181,2023-03-10,Telangana,Telangana City 1,4G,Postpaid,2.3
AIR100182,2021-08-03,Kerala,Kerala City 3,4G,Broadband,3.9
AIR100183,2020-12-02,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,4.7
AIR100184,2022-01-07,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,3.7
AIR100185,2024-02-11,Maharashtra,Maharashtra City 2,4G,Broadband,1.7
AIR100186,2019-01-30,Karnataka,Karnataka City 2,4G,Postpaid,6.8
AIR100187,2020-11-14,Kerala,Kerala City 2,5G,Prepaid,5.1
AIR100188,2020-01-25,Uttar Pradesh,Uttar Pradesh City 1,5G,Prepaid,5.1
AIR100189,2022-05-28,Gujarat,Gujarat City 2,4G,Broadband,2.8
AIR100190,2019-01-12,Telangana,Telangana City 1,5G,Prepaid,6.3
AIR100191,2023-02-25,Delhi,Delhi City 2,4G,Prepaid,2.2
AIR100192,2023-06-09,Telangana,Telangana City 2,4G,Prepaid,2
AIR100193,2023-10-24,West Bengal,West Bengal City 3,5G,Broadband,1.7
AIR100194,2019-02-18,Tamil Nadu,Tamil Nadu City 1,5G,Broadband,6.5
AIR100195,2023-09-12,Gujarat,Gujarat City 3,5G,Postpaid,2
AIR100196,2024-08-19,West Bengal,West Bengal City 2,4G,Postpaid,1.2
AIR100197,2019-09-18,Kerala,Kerala City 1,4G,Prepaid,6.2
AIR100198,2019-11-16,Delhi,Delhi City 2,5G,Prepaid,6.1
AIR100199,2019-07-05,Karnataka,Karnataka City 3,4G,Broadband,5.6
AIR100200,2024-04-11,Gujarat,Gujarat City 1,5G,Prepaid,0.9
AIR100201,2019-01-21,Gujarat,Gujarat City 3,4G,Postpaid,6.2
AIR100202,2019-01-16,Tamil Nadu,Tamil Nadu City 2,5G,Postpaid,6.3
AIR100203,2019-01-06,Rajasthan,Rajasthan City 2,4G,Prepaid,6.4
AIR100204,2021-07-29,Gujarat,Gujarat City 2,4G,Postpaid,4
AIR100205,2019-09-16,Maharashtra,Maharashtra City 1,4G,Postpaid,5.9
AIR100206,2021-11-29,Delhi,Delhi City 3,5G,Postpaid,3.8
AIR100207,2019-10-03,Delhi,Delhi City 3,5G,Prepaid,6
AIR100208,2021-04-06,Maharashtra,Maharashtra City 2,4G,Prepaid,4.6
AIR100209,2024-04-14,Uttar Pradesh,Uttar Pradesh City 3,4G,Postpaid,1.7
AIR100210,2022-08-24,Maharashtra,Maharashtra City 1,4G,Enterprise,2.5
AIR100211,2023-04-06,Maharashtra,Maharashtra City 2,4G,Prepaid,1.9
AIR100212,2021-08-06,Delhi,Delhi City 2,4G,Enterprise,3.7
AIR100213,2020-04-24,Telangana,Telangana City 2,4G,Postpaid,5.1
AIR100214,2020-02-18,Delhi,Delhi City 1,4G,Broadband,5.3
AIR100215,2023-01-28,Rajasthan,Rajasthan City 2,4G,Prepaid,2.5
AIR100216,2022-12-03,Tamil Nadu,Tamil Nadu City 2,5G,Prepaid,2.7
AIR100217,2024-09-23,West Bengal,West Bengal City 2,5G,Prepaid,1
AIR100218,2023-12-26,Telangana,Telangana City 2,4G,Prepaid,1.8
AIR100219,2021-04-09,Karnataka,Karnataka City 3,4G,Enterprise,4.6
AIR100220,2022-07-18,West Bengal,West Bengal City 2,5G,Prepaid,3.4
AIR100221,2019-10-02,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,5.4
AIR100222,2024-04-18,Rajasthan,Rajasthan City 2,4G,Prepaid,0.9
AIR100223,2022-12-17,Rajasthan,Rajasthan City 2,5G,Postpaid,2.3
AIR100224,2023-03-08,Karnataka,Karnataka City 3,4G,Prepaid,2.2
AIR100225,2019-05-24,Telangana,Telangana City 2,4G,Prepaid,6.1
AIR100226,2021-04-14,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,4.3
AIR100227,2024-03-01,Maharashtra,Maharashtra City 1,4G,Postpaid,1.5
AIR100228,2021-02-22,Telangana,Telangana City 3,5G,Prepaid,4.6
AIR100229,2024-04-04,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,1.5
AIR100230,2019-06-27,Rajasthan,Rajasthan City 1,4G,Prepaid,6.4
AIR100231,2025-01-07,Delhi,Delhi City 2,5G,Enterprise,0.9
AIR100232,2020-09-02,Tamil Nadu,Tamil Nadu City 3,5G,Postpaid,4.5
AIR100233,2020-06-24,Karnataka,Karnataka City 1,5G,Postpaid,4.7
AIR100234,2025-01-06,Tamil Nadu,Tamil Nadu City 1,4G,Postpaid,0.3
AIR100235,2022-10-04,Kerala,Kerala City 3,4G,Prepaid,2.6
AIR100236,2020-02-17,Kerala,Kerala City 3,5G,Postpaid,5.3
AIR100237,2023-11-08,Telangana,Telangana City 1,4G,Prepaid,1.7
AIR100238,2023-11-19,Rajasthan,Rajasthan City 1,4G,Prepaid,1.7
AIR100239,2022-07-05,Rajasthan,Rajasthan City 3,4G,Postpaid,3.2
AIR100240,2020-05-06,Maharashtra,Maharashtra City 2,4G,Postpaid,5.4
AIR100241,2023-09-24,Maharashtra,Maharashtra City 1,4G,Prepaid,2.1
AIR100242,2023-06-20,Maharashtra,Maharashtra City 3,4G,Prepaid,2.5
AIR100243,2022-01-24,Delhi,Delhi City 2,4G,Postpaid,3.1
AIR100244,2021-09-27,West Bengal,West Bengal City 1,4G,Postpaid,3.5
AIR100245,2022-11-28,Gujarat,Gujarat City 1,4G,Prepaid,2.4
AIR100246,2024-09-15,West Bengal,West Bengal City 3,4G,Prepaid,0.7
AIR100247,2023-06-26,Tamil Nadu,Tamil Nadu City 2,5G,Broadband,2
AIR100248,2020-04-25,West Bengal,West Bengal City 1,5G,Postpaid,5.2
AIR100249,2019-06-29,Delhi,Delhi City 2,4G,Enterprise,6.1
AIR100250,2020-08-04,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,5.1
AIR100251,2022-11-30,West Bengal,West Bengal City 1,4G,Postpaid,2.9
AIR100252,2023-02-01,Delhi,Delhi City 2,4G,Prepaid,2.8
AIR100253,2023-07-01,Gujarat,Gujarat City 1,4G,Postpaid,2.5
AIR100254,2022-07-18,West Bengal,West Bengal City 2,4G,Prepaid,2.6
AIR100255,2023-05-02,Delhi,Delhi City 1,5G,Prepaid,1.9
AIR100256,2019-12-30,Maharashtra,Maharashtra City 3,4G,Prepaid,5.3
AIR100257,2024-10-17,Rajasthan,Rajasthan City 1,4G,Postpaid,0.6
AIR100258,2020-02-27,Maharashtra,Maharashtra City 1,4G,Postpaid,5.3
AIR100259,2024-04-27,Rajasthan,Rajasthan City 1,5G,Postpaid,1.2
AIR100260,2024-02-27,Karnataka,Karnataka City 2,4G,Broadband,1.5
AIR100261,2024-12-09,Karnataka,Karnataka City 3,5G,Postpaid,0.8
AIR100262,2021-06-02,Karnataka,Karnataka City 2,4G,Postpaid,4.4
AIR100263,2022-03-18,Gujarat,Gujarat City 2,5G,Enterprise,3.7
AIR100264,2023-11-20,Maharashtra,Maharashtra City 1,5G,Postpaid,2.1
AIR100265,2023-02-08,Rajasthan,Rajasthan City 2,5G,Prepaid,2
AIR100266,2020-08-01,Delhi,Delhi City 1,4G,Enterprise,4.6
AIR100267,2024-12-02,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,0.4
AIR100268,2019-08-25,Delhi,Delhi City 2,4G,Postpaid,5.7
AIR100269,2024-09-25,Tamil Nadu,Tamil Nadu City 2,5G,Prepaid,0.7
AIR100270,2019-04-23,Kerala,Kerala City 2,4G,Postpaid,6.2
AIR100271,2021-03-02,Delhi,Delhi City 1,4G,Postpaid,4.5
AIR100272,2022-08-08,West Bengal,West Bengal City 1,4G,Prepaid,3.1
AIR100273,2019-02-20,West Bengal,West Bengal City 2,4G,Postpaid,6.7
AIR100274,2019-05-24,Telangana,Telangana City 2,4G,Postpaid,6.5
AIR100275,2023-09-02,Maharashtra,Maharashtra City 3,4G,Prepaid,2.3
AIR100276,2022-03-02,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,3
AIR100277,2023-03-03,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,2
AIR100278,2020-01-25,Maharashtra,Maharashtra City 3,5G,Broadband,5.2
AIR100279,2024-07-13,Gujarat,Gujarat City 3,5G,Postpaid,0.8
AIR100280,2022-03-29,Telangana,Telangana City 1,5G,Broadband,3.2
AIR100281,2021-01-18,Gujarat,Gujarat City 3,4G,Prepaid,4.5
AIR100282,2023-09-07,Gujarat,Gujarat City 3,5G,Prepaid,1.9
AIR100283,2023-05-27,Gujarat,Gujarat City 2,4G,Prepaid,2.3
AIR100284,2021-05-24,Maharashtra,Maharashtra City 1,4G,Prepaid,4.4
AIR100285,2020-12-08,Gujarat,Gujarat City 3,4G,Postpaid,4.9
AIR100286,2022-04-23,West Bengal,West Bengal City 3,4G,Enterprise,3.6
AIR100287,2019-08-02,Karnataka,Karnataka City 3,4G,Prepaid,5.5
AIR100288,2022-01-22,Kerala,Kerala City 2,5G,Enterprise,3.1
AIR100289,2019-01-13,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,6.3
AIR100290,2023-12-24,Tamil Nadu,Tamil Nadu City 2,4G,Broadband,1.4
AIR100291,2020-04-30,Kerala,Kerala City 3,4G,Prepaid,5.1
AIR100292,2019-04-29,Maharashtra,Maharashtra City 2,4G,Broadband,6.2
AIR100293,2021-06-30,Delhi,Delhi City 3,4G,Prepaid,4.1
AIR100294,2022-01-25,Maharashtra,Maharashtra City 1,4G,Broadband,3.6
AIR100295,2021-04-21,Tamil Nadu,Tamil Nadu City 3,5G,Prepaid,4.5
AIR100296,2020-10-25,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,5.1
AIR100297,2021-10-20,Kerala,Kerala City 1,4G,Postpaid,4.2
AIR100298,2021-02-25,Gujarat,Gujarat City 3,5G,Prepaid,4
AIR100299,2019-12-13,Maharashtra,Maharashtra City 1,5G,Postpaid,5.3
AIR100300,2019-08-25,Rajasthan,Rajasthan City 1,5G,Enterprise,5.6
AIR100301,2024-10-26,Kerala,Kerala City 1,4G,Postpaid,0.6
AIR100302,2023-04-26,West Bengal,West Bengal City 3,4G,Postpaid,2.1
AIR100303,2024-05-09,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,1.2
AIR100304,2024-08-21,Kerala,Kerala City 3,5G,Postpaid,1
AIR100305,2019-08-17,Maharashtra,Maharashtra City 2,5G,Postpaid,6.1
AIR100306,2021-04-22,Tamil Nadu,Tamil Nadu City 3,4G,Broadband,4.5
AIR100307,2021-08-22,Delhi,Delhi City 3,4G,Prepaid,4.2
AIR100308,2019-06-13,Kerala,Kerala City 3,5G,Postpaid,6.5
AIR100309,2023-08-31,Telangana,Telangana City 2,4G,Prepaid,1.5
AIR100310,2020-01-17,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,5.2
AIR100311,2020-08-04,Maharashtra,Maharashtra City 1,4G,Prepaid,4.7
AIR100312,2022-12-16,Karnataka,Karnataka City 3,4G,Prepaid,2.4
AIR100313,2021-12-22,Rajasthan,Rajasthan City 1,5G,Prepaid,3.5
AIR100314,2024-06-16,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,1.1
AIR100315,2019-09-03,Gujarat,Gujarat City 2,4G,Broadband,5.9
AIR100316,2024-09-28,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,1
AIR100317,2024-06-15,Maharashtra,Maharashtra City 3,4G,Broadband,1.3
AIR100318,2024-05-25,West Bengal,West Bengal City 3,4G,Prepaid,1.5
AIR100319,2022-07-29,West Bengal,West Bengal City 1,4G,Prepaid,3.4
AIR100320,2022-10-03,Karnataka,Karnataka City 2,4G,Postpaid,2.4
AIR100321,2019-12-30,Gujarat,Gujarat City 1,5G,Postpaid,5.2
AIR100322,2021-09-18,Telangana,Telangana City 1,5G,Postpaid,3.6
AIR100323,2021-07-08,Karnataka,Karnataka City 3,4G,Postpaid,3.9
AIR100324,2019-02-11,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,6.3
AIR100325,2024-12-22,Karnataka,Karnataka City 1,5G,Postpaid,0.6
AIR100326,2022-07-06,Uttar Pradesh,Uttar Pradesh City 1,4G,Postpaid,3.1
AIR100327,2022-04-29,Tamil Nadu,Tamil Nadu City 3,5G,Prepaid,3.4
AIR100328,2024-07-06,West Bengal,West Bengal City 3,4G,Broadband,1.3
AIR100329,2024-10-21,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,1.1
AIR100330,2023-05-25,Rajasthan,Rajasthan City 3,5G,Prepaid,2.6
AIR100331,2020-02-05,Gujarat,Gujarat City 3,4G,Broadband,5
